#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z	u_x	u_y	u_z	Dt
0.000000e+00	0.09950371902099892	0.9950371902099892	0	0	0	0	0	1	0	6.882097349800733e-10
3.778016e-07	0.023039935071789367	0.9997345449518237	-3.1966512538865724e-05	0.0007054699981345346	0	0	0.008950907938822358	0.9999599392704498	-3.318597789537114e-05	5.819744944577292e-10
7.550996e-07	0.06247610430688256	0.9980464600340945	-2.0120283838165954e-06	0.0013705293175690725	0	0	0.03514731754641071	0.9993821419415608	-2.09186529887489e-05	5.282177100920228e-10
1.137861e-06	0.11658037303093727	0.9931812604392563	2.315724253584768e-05	0.00196671445405694	0	0	0.07768190660860791	0.9969781950357819	-2.9742730269646094e-06	5.178008594271839e-10
1.533961e-06	0.1833497132624589	0.9830477514486777	3.19103878953138e-05	0.0024641229903920175	0	0	0.13546777963040965	0.990781752097925	1.9793257749190936e-05	5.687974326480196e-10
1.947966e-06	0.2589982175828801	0.9658777975768575	5.8625678948343885e-05	0.0028213415341111292	0	0	0.2059119477345413	0.9785705225799176	4.601993722872217e-05	5.476752909186746e-10
2.408037e-06	0.34232898791697874	0.9395801488649133	8.882975160982303e-05	0.0029949932413490302	0	0	0.28883907369500655	0.9573776597901678	7.772845277261718e-05	5.26140795172099e-10
2.890776e-06	0.42082226515195137	0.9071431024150745	0.00011354794009748982	0.0029100247225390245	0	0	0.3722816499099149	0.9281197995010857	0.0001044720827082567	5.313582359968989e-10
3.323666e-06	0.47840096568431106	0.8781414998827812	0.000149050118660729	0.0026071393614931493	0	0	0.4376549750303622	0.8991429845877266	0.00012687729766787568	4.964766358359634e-10
3.734199e-06	0.519481098149737	0.8544819264887809	0.00016114951105368746	0.002142275683908556	0	0	0.487839446922843	0.8729333613771172	0.00014359965908481882	5.184554877186727e-10
4.136607e-06	0.5460946402772751	0.8377234726275786	0.0001651339577400755	0.0015488001100575444	0	0	0.5241597435983507	0.8516199500394364	0.00015455011930139823	5.367406110844716e-10
4.522773e-06	0.5585903639485228	0.8294436548181794	0.00016966354363495448	0.0008861316599786505	0	0	0.5463338545009311	0.8375674860713147	0.00016031947333958082	5.216631049581191e-10
4.907969e-06	0.5581826236793161	0.8297181058870352	0.00015292385593317786	0.00017337733957288487	0	0	0.5557933762801578	0.8313204537035143	0.0001616703005162634	5.234264049786591e-10
5.290978e-06	0.5448298990057316	0.8385465730161514	0.00016134519821815976	-0.0005454305005599649	0	0	0.5524738205272569	0.8335302348336323	0.0001589031352185202	6.160557393133533e-10
5.674302e-06	0.518330367153199	0.8551804556412851	0.0001370255231456731	-0.0012333445199467392	0	0	0.536242950003079	0.8440636679247314	0.00015185994958866867	5.186212067280916e-10
6.058078e-06	0.47863326467387646	0.8780149091687264	0.00013124427781032802	-0.001850728713402493	0	0	0.5069218903068894	0.8619919823377337	0.00013968949293957544	5.557303924861469e-10
6.449739e-06	0.42527675488665645	0.9050633523250893	0.0001001556098173408	-0.00237016301742707	0	0	0.4637393006916606	0.885971695894187	0.0001227533623647677	5.357915920592017e-10
6.859722e-06	0.3576258818074758	0.9338649368771338	9.12846773289073e-05	-0.0027604900604502078	0	0	0.405336734923637	0.9141674470195419	0.00010065395356690594	5.826859806814646e-10
7.302446e-06	0.2755897882362445	0.9612753327334261	5.742946137335251e-05	-0.0029769184803020952	0	0	0.33021881991446983	0.9439044051111058	7.061263762170653e-05	5.487232355762761e-10
