#t	<mx>	<my>	<mz>	Dt
1.000000e-15	0.9999999998452698	1.7587964813166517e-05	3.5175929628147303e-07	2.3591825073802822e-12
2.360183e-12	0.9991382058340986	0.04149887208226189	0.0008302159471474137	3.031782760035846e-11
3.267801e-11	0.8392787126569873	0.5435799150520918	0.01149427826314625	3.308786950937023e-11
6.576588e-11	0.40226766003713604	0.9152298902708442	0.023129583720109367	3.256769943263114e-11
9.833358e-11	-0.15792895328579667	0.9868449501271864	0.034575860401782565	3.2668558850050467e-11
1.310021e-10	-0.6685861996231782	0.7422075404893702	0.04604845832550519	3.265302332329906e-11
1.636552e-10	-0.9639553248178053	0.2597758339550836	0.05750345944671582	3.2655841178386834e-11
1.963110e-10	-0.9497282355423793	-0.30538985007045777	0.06894431149487462	3.2652031231988045e-11
2.289630e-10	-0.6309366065855827	-0.7716607743601965	0.08036571273927547	3.264600425533195e-11
2.616090e-10	-0.11052838434202085	-0.9896276351953642	0.09176393579382548	3.263673826457151e-11
2.942458e-10	0.444062884802256	-0.8900400781924318	0.10313492886654807	3.2624199233217435e-11
3.268700e-10	0.8550096124771371	-0.5058202377771218	0.1144746680571372	3.260816696516348e-11
3.594781e-10	0.9912925276221234	0.038971053228934446	0.12577909878342095	3.258846068813101e-11
3.920666e-10	0.8105179837179676	0.5694554392939579	0.13704415612599213	3.256490721629067e-11
4.246315e-10	0.3719490591472225	0.9163357232142763	0.1482657740709739	3.2537356462330396e-11
4.571689e-10	-0.18321832090007306	0.9700566814146634	0.15943990005430805	3.250568781868139e-11
4.896746e-10	-0.6776705725168627	0.715311837461104	0.17056251151025661	3.2469817378591955e-11
5.221444e-10	-0.9548684234452494	0.2350254661692146	0.18162963458402778	3.242970377785037e-11
5.545741e-10	-0.9286294539942951	-0.3170775662404219	0.1926373643956657	3.238535271800654e-11
5.869594e-10	-0.6096451272205835	-0.7660856573776835	0.20358188626791132	3.2336819883581846e-11
6.192962e-10	-0.10084556887935679	-0.9715128899192625	0.21445949724393737	3.2284212128546936e-11
6.515805e-10	0.4363574488579781	-0.8711183177371121	0.22526662719768492	3.2227686884248614e-11
6.838081e-10	0.8336821484683391	-0.4992776201156809	0.23599985884918628	3.216744984600706e-11
7.159756e-10	0.9687714885689648	0.025350487475722217	0.24665594604755742	3.210375108616061e-11
7.480793e-10	0.8025486737569689	0.5382819075587197	0.25723182976815967	3.2036879828735655e-11
7.801162e-10	0.38982302848465894	0.8811137937316958	0.2677246513841921	3.1967158175459007e-11
8.120834e-10	-0.13945959816014972	0.9503650577253596	0.2781317629032745	3.189493411555219e-11
8.439783e-10	-0.6217056012562524	0.7282021144032031	0.2884507340002897	3.182057415946259e-11
8.757989e-10	-0.9104594322000733	0.28610184327881744	0.2986793558155352	3.174445592502993e-11
9.075434e-10	-0.9206407302818012	-0.23885883956927684	0.3088156416145563	3.1666960971216185e-11
9.392103e-10	-0.652953338110612	-0.6870091891638674	0.31885782451527545	3.1588468124568727e-11
9.707988e-10	-0.19170448523819825	-0.9247362262115852	0.3288043525738571	3.1509347487221886e-11
1.002308e-09	0.32243578108020854	-0.8839393166778036	0.33865388158173215	3.142995525433855e-11
1.033738e-09	0.7357369736905951	-0.5807795418182845	0.3484052659618513	3.135062941048114e-11
1.065089e-09	0.9273334028312074	-0.10884646156777425	0.3580575481646341	3.127168632369238e-11
1.096360e-09	0.844089184287776	0.3903541672208257	0.3676099469570056	3.119341821110234e-11
1.127554e-09	0.5145279495870522	0.7701203504376114	0.3770618449745278	3.1116091418207516e-11
1.158670e-09	0.03848212374577194	0.9215228118688437	0.3864127758723235	3.103994543230921e-11
1.189710e-09	-0.44367926543796143	0.8041143983599592	0.39566241136937896	3.096519253193914e-11
1.220675e-09	-0.792630032724256	0.4559232951929086	0.40481054843467823	3.089201797587602e-11
1.251567e-09	-0.9101345655583819	-0.019426167613849497	0.41385709681929383	3.0820580628857316e-11
1.282388e-09	-0.7661540260361166	-0.48399010366924594	0.4228020670939087	3.075101393034446e-11
