#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
0	0	1	0	0.001	0	0
1.0099999999999994e-10	0.0017594981842919423	0.9998436643023577	0.017594064924685248	0.001	0	0
2.0199999999999959e-10	0.003518985474389492	0.999374708026931	0.035182519769305774	0.001	0	0
3.0299999999999926e-10	0.0052784509763680815	0.9985932836090509	0.052759756312778225	0.001	0	0
4.039999999999989e-10	0.007037883796842745	0.9974996450503694	0.07032017005134097	0.001	0	0
5.049999999999986e-10	0.008797273043237887	0.9960941478330311	0.08785816205561299	0.001	0	0
6.059999999999982e-10	0.010556607824057	0.994377248799558	0.10536814082573041	0.001	0	0
7.069999999999979e-10	0.012315877249152353	0.992349505998485	0.12284452414392177	0.001	0	0
8.079999999999975e-10	0.014075070429994617	0.9900115784958048	0.1402817409238836	0.001	0	0
9.089999999999972e-10	0.015834176479942272	0.9873642261522869	0.1576742330563166	0.001	0	0
1.010000000000005e-09	0.017593184514511143	0.984408309366749	0.17501645724998985	0.001	0	0
1.111000000000015e-09	0.01935208365164365	0.9811447887853708	0.1923028868676967	0.001	0	0
1.2120000000000252e-09	0.021110863011977926	0.9775747249771544	0.20952801375646682	0.001	0	0
1.3130000000000353e-09	0.022869511719116914	0.9736992780756444	0.2266863500714112	0.001	0	0
1.4140000000000454e-09	0.02462801889989722	0.9695197073870303	0.24377243009256278	0.001	0	0
1.5150000000000555e-09	0.026386373684657908	0.9650373709647784	0.2607808120340956	0.001	0	0
1.6160000000000656e-09	0.028144565207508805	0.960253725150932	0.2777060798452905	0.001	0	0
1.7170000000000757e-09	0.02990258260659903	0.9551703240842491	0.29454284500263506	0.001	0	0
1.8180000000000857e-09	0.03166041502438491	0.9497888191753471	0.31128574829243927	0.001	0	0
1.919000000000084e-09	0.03341805160789818	0.9441109585490403	0.32792946158334735	0.001	0	0
2.0200000000000733e-09	0.035175481509013236	0.9381385864540674	0.34446868958814447	0.001	0	0
2.1210000000000625e-09	0.036932693884714804	0.9318736426404126	0.36089817161424703	0.001	0	0
2.2220000000000517e-09	0.03868967789736489	0.9253181617044464	0.377212683302275	0.001	0	0
2.323000000000041e-09	0.040446422714969864	0.9184742724021079	0.39340703835211244	0.001	0	0
2.42400000000003e-09	0.04220291751144662	0.9113441969303794	0.40947609023585757	0.001	0	0
2.5250000000000193e-09	0.043959151466889175	0.9039302501772967	0.42541473389707746	0.001	0	0
2.6260000000000085e-09	0.04571511376783432	0.896234838940767	0.4412179074357835	0.001	0	0
2.7269999999999977e-09	0.047470793607527415	0.8882604611164628	0.45688059377855017	0.001	0	0
2.827999999999987e-09	0.049226180186187324	0.8800097048550813	0.4723978223332002	0.001	0	0
2.928999999999976e-09	0.05098126271127152	0.871485247689264	0.48776467062749257	0.001	0	0
3.0299999999999653e-09	0.05273603039774046	0.8626898556304833	0.5029762659312513	0.001	0	0
3.1309999999999545e-09	0.054490472468321546	0.853626382236213	0.518027786861375	0.001	0	0
3.2319999999999438e-09	0.056244578153773275	0.8442977676477124	0.5329144649691858	0.001	0	0
3.332999999999933e-09	0.05799833669314779	0.8347070375987606	0.5476315863095641	0.001	0	0
3.433999999999922e-09	0.059751737334054186	0.8248573023956871	0.5621744929913419	0.001	0	0
3.5349999999999114e-09	0.0615047693329206	0.8147517558690599	0.5765385847084199	0.001	0	0
3.6359999999999006e-09	0.06325742195525647	0.8043936742974018	0.5907193202510819	0.001	0	0
3.736999999999895e-09	0.06500968447591375	0.7937864153033025	0.6047122189969997	0.001	0	0
3.837999999999926e-09	0.06676154617934774	0.7829334167223264	0.6185128623814117	0.001	0	0
3.938999999999957e-09	0.06851299635987775	0.7718381954451036	0.6321168953459777	0.001	0	0
4.039999999999988e-09	0.07026402432194696	0.7605043462330167	0.6455200277658137	0.001	0	0
4.141000000000019e-09	0.07201461938038192	0.7489355405078923	0.6587180358542264	0.001	0	0
4.24200000000005e-09	0.07376477086065085	0.7371355251161296	0.6717067635446614	0.001	0	0
4.343000000000081e-09	0.0755144680991232	0.7251081210676902	0.6844821238494039	0.001	0	0
4.444000000000112e-09	0.077263700443326	0.7128572222503967	0.6970401001945674	0.001	0	0
4.545000000000143e-09	0.0790124572522018	0.7003867941199965	0.7093767477309098	0.001	0	0
4.646000000000174e-09	0.08076072789636521	0.6877008723664335	0.7214881946200477	0.001	0	0
4.7470000000002046e-09	0.08250850175835833	0.6748035615568082	0.7333706432956245	0.001	0	0
4.8480000000002355e-09	0.08425576823290686	0.6616990337555008	0.7450203716990023	0.001	0	0
4.9490000000002665e-09	0.08600251672717422	0.6483915271219295	0.7564337344890725	0.001	0	0
5.0500000000002975e-09	0.08774873666101589	0.6348853444864504	0.7676071642257627	0.001	0	0
5.1510000000003285e-09	0.08949441746723276	0.6211848519048808	0.7785371725268564	0.001	0	0
5.2520000000003595e-09	0.09123954859182366	0.6072944771921683	0.7892203511977192	0.001	0	0
5.3530000000003905e-09	0.09298411949423792	0.5932187084356987	0.799653373333573	0.001	0	0
5.4540000000004214e-09	0.09472811964762612	0.5789620924887867	0.8098329943939249	0.001	0	0
5.5550000000004524e-09	0.096471538539091	0.564529233444849	0.8197560532488137	0.001	0	0
5.656000000000483e-09	0.09821436566993742	0.5499247910928161	0.8294194731965091	0.001	0	0
5.757000000000514e-09	0.0999565905559219	0.5351534793543062	0.8388202629523298	0.001	0	0
