#t	<mx>	<my>	<mz>	u_x	u_y	u_z
1.000000e-10	1	0	0	-0.00013394082074322266	0.00022976874622390695	0.9998491538413558
5.100000e-09	1	0	0	-0.00035386276580729224	0.0019059745582939273	0.992129306988451
1.010000e-08	1	0	0	0.00026843327141272085	0.002397895371531876	0.9844140367105872
1.510000e-08	1	0	0	0.0003491295404291659	0.0027369308799395694	0.976819932972662
2.010000e-08	1	0	0	0.0014858511361234676	0.0016479878830453498	0.9695213219852383
2.510000e-08	1	0	0	0.00048773870157603217	0.0016944538531916528	0.9620554802832091
3.010000e-08	1	0	0	0.00036200043683985576	0.0015759009353466347	0.9545514995289207
3.510000e-08	1	0	0	0.00039151141438125174	0.0014133233244333452	0.9475965235505439
4.010000e-08	1	0	0	0.0006871224425294135	0.0012518024301686537	0.9405030576276664
4.510000e-08	1	0	0	0.0007874747986573834	0.0007502856183034169	0.9329983428728725
5.010000e-08	1	0	0	0.0007759168022098117	0.0008091122736336324	0.9255987196736944
5.510000e-08	1	0	0	0.0012746448167017988	-0.0003066156115804074	0.9177636956502715
6.010000e-08	1	0	0	0.0017354554540110613	0.0004249398239872	0.9106515235319539
6.510000e-08	1	0	0	0.002055530439238351	0.0007829480271424834	0.9036570895202604
7.010000e-08	1	0	0	0.001796192498861984	-0.0003885884781090809	0.895964318606299
7.510000e-08	1	0	0	0.002041636187085355	0.0007862728893280441	0.88857135740772
8.010000e-08	1	0	0	0.0018889620689337416	7.256896744245625e-05	0.8820267130064555
8.510000e-08	1	0	0	0.0015087908486963958	5.406249403646564e-05	0.8753192671204862
9.010000e-08	1	0	0	0.0013203535494640821	0.00028041533090987725	0.8690202637671859
9.510000e-08	1	0	0	0.0011124767929187095	-0.0009606723279745787	0.8626665561152708
1.001000e-07	1	0	0	0.0013508110926913474	-0.002708193998052823	0.8563067758557078
1.051000e-07	1	0	0	0.0020725556538654885	-0.0020475634913407225	0.849382813618274
1.101000e-07	1	0	0	0.002805016187130117	-0.003057411113913282	0.8431218406777835
1.151000e-07	1	0	0	0.0020759349071363857	-0.0028827496286519647	0.8360927853392774
1.201000e-07	1	0	0	0.0012791759391475679	-0.0028874861251325344	0.8296629351669712
1.251000e-07	1	0	0	0.0004182358218221264	-0.0033800660553088492	0.8229239212428007
1.301000e-07	1	0	0	2.5283131807842254e-06	-0.0036063652669632404	0.8173611338707638
1.351000e-07	1	0	0	-0.0005585681593188146	-0.003098070443470006	0.8111026455691412
1.401000e-07	1	0	0	-0.00017472840698568617	-0.0027017302114755084	0.8045870070302986
1.451000e-07	1	0	0	0.0003796147016728094	-0.0005313671965741147	0.7981954436331236
1.501000e-07	1	0	0	0.0005061670151562501	-0.0013766433841507946	0.791068890312401
1.551000e-07	1	0	0	0.0008420434846863773	-0.0004005086413722127	0.7853519276414278
1.601000e-07	1	0	0	-0.0001221172775358774	0.0003559036800249438	0.7795458149277025
1.651000e-07	1	0	0	-0.0003554710539214988	-0.0001673388264356795	0.7731698564294871
1.701000e-07	1	0	0	0.0005796535042761541	-0.0002923860215898174	0.7672944820290188
1.751000e-07	1	0	0	0.0004543850669022635	-0.0009320778404620615	0.7611072381423164
1.801000e-07	1	0	0	0.000880215514326197	-8.157111154173613e-05	0.755226061969981
1.851000e-07	1	0	0	0.001116549663152383	0.00047046362893545093	0.749881263918688
1.901000e-07	1	0	0	0.0011908752526077109	0.000947610771359496	0.7443858033840325
1.951000e-07	1	0	0	0.0005792804115938285	-0.0003320175300912689	0.7384841117276704
2.001000e-07	1	0	0	0.0006075775675935598	8.897732973149134e-05	0.7333247755225946
2.051000e-07	1	0	0	0.0004264064629267052	-0.0019149211991794598	0.7277022774230346
2.101000e-07	1	0	0	-0.0008470817809637115	-0.0017894241764374458	0.7217336076436985
2.151000e-07	1	0	0	-0.0007042969839271343	-0.0026584339288389307	0.7151534491408243
2.201000e-07	1	0	0	0.0002104870540867145	-0.0023710529514098097	0.7097321863538482
2.251000e-07	1	0	0	0.00031559587220732525	-0.001650728129545683	0.7047590045157811
2.301000e-07	1	0	0	-0.000434354936809548	-0.0018796362830474024	0.6987263774635999
2.351000e-07	1	0	0	0.0007346459727389347	-0.001836704359192193	0.6938257091384172
2.401000e-07	1	0	0	0.0008998317281195343	-0.001944509698834282	0.6882096223552193
2.451000e-07	1	0	0	0.0011160009808661928	-0.002045749029033067	0.6834397872173897
2.501000e-07	1	0	0	0.001259179024441188	-0.0023477260465582044	0.6785797010033777
2.551000e-07	1	0	0	0.0010057637672122683	-0.0023180988990766467	0.673616677952622
2.601000e-07	1	0	0	0.0005002539550819784	-0.0015321399898205333	0.6688918362826675
2.651000e-07	1	0	0	0.00012241556713614416	-0.0018611958968457374	0.6643441043367588
2.701000e-07	1	0	0	0.00032417280413753365	-0.0015648773787097369	0.6594170796635387
2.751000e-07	1	0	0	0.000516892977369046	-0.0004252415907567476	0.6546923393643472
2.801000e-07	1	0	0	0.0004676950847911945	0.0013602078103421278	0.6486376731548558
2.851000e-07	1	0	0	0.00028502797564430144	0.0015656027180062828	0.6439339402940539
2.901000e-07	1	0	0	0.001117541989548488	0.0012801183467110967	0.6388415077609298
2.951000e-07	1	0	0	0.002968803186518642	0.0019354921278490575	0.6339643548091682
3.001000e-07	1	0	0	0.003279064550419284	0.0006320951025923968	0.6272328435745974
3.051000e-07	1	0	0	0.002686302729033398	0.0011777942978161149	0.622049893135977
3.101000e-07	1	0	0	0.003002499849971335	0.0014619796032083782	0.6160880032415335
3.151000e-07	1	0	0	0.0035823244399221083	0.00038019562385947694	0.6109068849969103
3.201000e-07	1	0	0	0.0034017919972936144	0.0012098417868928266	0.6052837222408507
3.251000e-07	1	0	0	0.0039307133485779	0.0020671842318112955	0.6013197733094023
3.301000e-07	1	0	0	0.003623607744458875	0.0020036368521810506	0.5966275771366375
3.351000e-07	1	0	0	0.004184639692757801	0.001870060584180167	0.5926252939902472
3.401000e-07	1	0	0	0.003342684997425851	0.002644836150675216	0.5883387502812273
3.451000e-07	1	0	0	0.003035811406562155	0.0008667251869002949	0.5838902223314856
3.501000e-07	1	0	0	0.0020012680136060014	0.0012507857413458544	0.5802409864251562
3.551000e-07	1	0	0	0.0015948893648338013	0.0030082311972236277	0.5765896936338042
3.601000e-07	1	0	0	0.0005074406057427315	0.0035278856933234942	0.5730515179055937
3.651000e-07	1	0	0	0.00015277743572740846	0.004447106233971598	0.5688686941293709
3.701000e-07	1	0	0	0.0005962167409121516	0.0038319850652791297	0.563619298600042
3.751000e-07	1	0	0	0.0010277744485338235	0.004943806161639253	0.5595945088917719
3.801000e-07	1	0	0	0.0018112214040359807	0.00490987267270081	0.5555852192919456
3.851000e-07	1	0	0	0.00237302074184889	0.004637183118201869	0.5504221887842997
3.901000e-07	1	0	0	0.0029997522890497967	0.004419527515595774	0.5455279377819242
3.951000e-07	1	0	0	0.002859208861035536	0.005837221145258939	0.5418699025655644
4.001000e-07	1	0	0	0.002781089790568533	0.005192586601834714	0.5366666655394647
4.051000e-07	1	0	0	0.002319569530191274	0.00641390014186431	0.5316199739266204
4.101000e-07	1	0	0	0.0024293574665723724	0.006903199758892616	0.5279676024806668
4.151000e-07	1	0	0	0.002842322868619605	0.007667542560594972	0.5244474474264796
