#t	<mx>	<my>	<mz>
0.000000e+00	0	0	1
8.929352e-08	0.046197252736969355	-0.055005910157894855	0.5154058021866562
1.778532e-07	0.04609570638717556	-0.048298817848213965	0.5116189915692568
2.669775e-07	0.050103166541822924	-0.053370229163219075	0.5159721517238787
3.561168e-07	0.05686819648402572	-0.0581715970634167	0.511069050659837
4.454386e-07	0.05419489211826469	-0.05249882607051409	0.5136976292839517
5.353271e-07	0.050298380485890026	-0.05024540670716113	0.5068620026149246
6.236573e-07	0.05721136053026776	-0.054256943575780904	0.5066476778579581
7.130480e-07	0.0507429277472352	-0.04884087726892982	0.5058267382744667
8.005519e-07	0.05553026964030265	-0.050174801731994734	0.5118899141597327
8.872135e-07	0.05584395844705728	-0.05833472708070477	0.5087399566059577
9.791169e-07	0.05628063666808604	-0.05039997506173181	0.5098107205232363
1.068959e-06	0.058506943501272446	-0.05236656535510698	0.5062289775523783
1.159624e-06	0.05446173131686443	-0.04893446476397841	0.505644277662255
1.245787e-06	0.061420056454109084	-0.053546812053942204	0.5063216386473401
1.334358e-06	0.061848724029976564	-0.04895831808315249	0.5063635829797204
1.424473e-06	0.051862097641914316	-0.04863570418563578	0.5066055750332438
1.513296e-06	0.053544427689078106	-0.049709894482228185	0.5025814911946644
1.603342e-06	0.05713936876361134	-0.04338803058016543	0.5065808414765324
1.691327e-06	0.05535020615912764	-0.04437941934691246	0.5065311692293227
1.780332e-06	0.056142873358222205	-0.04588281368649408	0.5024722238032872
1.868120e-06	0.046465305773853514	-0.049844410909629516	0.5019581490644228
1.958992e-06	0.05334235811172136	-0.0489877260226176	0.49148974462812
2.050121e-06	0.05284495570018453	-0.043366146936074705	0.4931172689336211
2.137913e-06	0.05753595573577701	-0.044201145003640877	0.4908072032004371
2.225455e-06	0.050198218967541355	-0.040403368136825185	0.49048058444667275
2.311466e-06	0.05052597701741165	-0.03991430288369533	0.4891269682874176
2.400582e-06	0.05210573440930371	-0.03383412699762486	0.48821403633702176
2.487368e-06	0.05530137534516783	-0.03892092178596053	0.4829448801682612
2.576821e-06	0.05874385282883467	-0.030534579190766988	0.4832108167444044
2.663242e-06	0.060569020521298256	-0.031119870956458143	0.48178282566030733
2.751784e-06	0.057336329627930595	-0.035825104237458036	0.48295054660845277
2.840434e-06	0.05885699385516563	-0.03384699199732044	0.4862605525044066
2.930063e-06	0.059617036073675654	-0.028919560371449465	0.48255065832320826
3.019124e-06	0.0599147303023396	-0.026144073099150452	0.4895096680744374
3.106098e-06	0.05989484197274051	-0.0410845005759816	0.4794179365533825
3.197331e-06	0.0556370622973601	-0.03254950486033652	0.4887448151819021
