# t (s)	mx ()	my ()	mz ()
1.0786059109441764e-10	0.0018826959421858191	0.9998210668563843	0.01882561296224594
2.344818708162182e-10	0.004102206788957119	0.9991503953933716	0.04100973531603813
3.185862559996401e-10	0.005582019686698914	0.9984269738197327	0.05578991025686264
4.024419783025822e-10	0.00706188939511776	0.9974827170372009	0.07055836915969849
5.277649604449791e-10	0.009281864389777184	0.9956525564193726	0.09268220514059067
6.11008355453769e-10	0.010761936195194721	0.9941568970680237	0.10740727186203003
7.354210293144222e-10	0.012982191517949104	0.9915009140968323	0.12945067882537842
8.180630375786703e-10	0.014462380670011044	0.9894557595252991	0.14411193132400513
9.004640430015492e-10	0.0159426461905241	0.9871914982795715	0.1587413251399994
1.0236255797903739e-09	0.018163153901696205	0.9833852648735046	0.1806199848651886
1.105440521694887e-09	0.01964358240365982	0.9805753231048584	0.19515711069107056
1.227722225043782e-09	0.021864254027605057	0.9759533405303955	0.21688063442707062
1.3089533454933516e-09	0.023344673216342926	0.9726015329360962	0.23130376636981964
1.4303702171207057e-09	0.02556525357067585	0.9671698808670044	0.2528418302536011
1.5110273539358685e-09	0.02704571560025215	0.9632807970046997	0.2671308219432831
1.6315933723860327e-09	0.029266424477100372	0.957046627998352	0.2884531021118164
1.7116902125396205e-09	0.03074685111641884	0.9526251554489136	0.30258870124816895
1.8314160394571416e-09	0.03296749293804169	0.9455972909927368	0.3236648142337799
1.9109544465881514e-09	0.03444785997271538	0.9406498670578003	0.3376258611679077
2.02985519039659e-09	0.03666852042078972	0.9328376054763794	0.35842639207839966
2.1088467841326758e-09	0.038148894906044006	0.9273707866668701	0.37219369411468506
2.2269301125397433e-09	0.0403694286942482	0.9187850952148438	0.39268845319747925
2.3053866134440348e-09	0.04184979945421219	0.9128061532974243	0.4062432050704956
2.4226671318576943e-09	0.04406999796628952	0.903458833694458	0.42640358209609985
2.500590610653854e-09	0.04555009305477142	0.8969764113426208	0.4397256076335907
2.6170827478098647e-09	0.04777013882994652	0.8868800401687622	0.45952343940734863
2.7331085986846706e-09	0.049990031868219376	0.8763408660888672	0.4790905714035034
2.810200057710345e-09	0.05146963894367218	0.8690714240074158	0.49200183153152466
2.925457490350072e-09	0.053689323365688324	0.8578058481216431	0.5111620426177979
3.0020346661914737e-09	0.05516885221004486	0.8500579595565796	0.5237919092178345
3.1165218573416945e-09	0.05738788843154907	0.838083028793335	0.5425158739089966
3.2305616275066155e-09	0.059606775641441345	0.8256895542144775	0.5609668493270874
3.3063425428923298e-09	0.061085909605026245	0.8171976208686829	0.573111355304718
3.419637807333244e-09	0.06330445408821106	0.8041212558746338	0.5910851955413818
3.53248627636793e-09	0.0655224621295929	0.7906444072723389	0.6087595820426941
3.6074793906928254e-09	0.06700120866298676	0.781440019607544	0.6203727722167969
3.719607233234545e-09	0.06921883672475815	0.7673092484474182	0.6375306844711304
3.8313041102953156e-09	0.07143621146678925	0.7527960538864136	0.654366135597229
3.9055279509885954e-09	0.0729142427444458	0.7429120540618896	0.6654061079025269
4.016511435017804e-09	0.07513085752725601	0.7277781963348389	0.6816849112510681
4.127070779952991e-09	0.07734708487987518	0.7122822403907776	0.6976184248924255
4.200542167259183e-09	0.07882427424192429	0.7017545104026794	0.7080447673797607
4.310403341106507e-09	0.08103973418474197	0.6856727004051208	0.7233848571777344
4.419855793074535e-09	0.08325497061014175	0.6692492961883545	0.7383589744567871
