#t	<mx>	<my>	<mz>	u_anis_x	u_anis_y	u_anis_z
0.000000e+00	1	0	0	0	1	0
3.543988e-09	-0.06808902035211702	0.9356511163037039	-0.346295933945407	-0.00012565421093690263	0.9999999429845199	0.0003134357610919233
1.375057e-08	0.0013167006875808012	0.9987036396800886	0.050885227611200325	-0.0001239654540414277	0.999999330433982	0.0011505495008300288
2.380130e-08	-0.00018714767197713851	0.9989936984233465	0.044850367737543195	-0.00012396409659645296	0.9999980259634902	0.0019831041388936464
3.442799e-08	-0.00017428141408304008	0.9989500604089573	0.04581207739155071	-0.00012396378500467353	0.9999958935863447	0.002863117781067997
4.496500e-08	-0.0001696727670921973	0.9989099315253082	0.046678902207063326	-0.00012396337024824942	0.9999930147822161	0.00373564182667886
5.550171e-08	-0.0001647825039916587	0.9988690304443186	0.047546113047794034	-0.00012396284579901506	0.9999893749578492	0.004608102062988615
6.603801e-08	-0.000159648664422975	0.9988273551120851	0.0484137293760869	-0.00012396221165256985	0.999984974318539	0.005480489989155635
7.657393e-08	-0.00015433111181456323	0.9987849032917675	0.04928177288169409	-0.00012396146780191614	0.999979813052318	0.00635280421594335
8.710945e-08	-0.00014889185046969535	0.9987416729976908	0.05015025871310312	-0.00012396061424147268	0.9999738913503708	0.00722504334679625
9.764457e-08	-0.00014339433484966493	0.9986976625336843	0.051019195287853966	-0.00012395965096784098	0.9999672094070347	0.008097205981872404
1.081793e-07	-0.0001379027598820283	0.9986528705289193	0.051888584170110205	-0.00012395857798050752	0.9999597674197751	0.008969290722246791
1.187136e-07	-0.00013248133692790774	0.9986072959706931	0.052758420018005694	-0.00012395739528247028	0.9999515655891428	0.009841296174104223
1.292475e-07	-0.0001271935607563195	0.9985609382335876	0.053628690603589706	-0.00012395610288077892	0.9999426041187078	0.010713220952724298
1.397811e-07	-0.00012210147388666564	0.998513797104399	0.054499376908229896	-0.00012395470078698092	0.9999328832149795	0.01158506368606835
1.503142e-07	-0.00011726493585120452	0.9984658728022352	0.055370453296008315	-0.0001239531890174704	0.9999224030873147	0.012456823017801912
1.608469e-07	-0.00011274090613780907	0.9984171659932056	0.05624188776689547	-0.00012395156759373695	0.9999111639478176	0.013328497609612938
1.713792e-07	-0.0001085827506539874	0.9983676777991767	0.05711364229031289	-0.00012394983654251708	0.9998991660112422	0.014200086142719908
1.819111e-07	-0.00010483958237635075	0.9983174098001607	0.05798567321813268	-0.0001239479958958511	0.9998864094948962	0.01507158731850274
1.924427e-07	-0.00010155564728142014	0.9982663640300133	0.058857931774297156	-0.00012394604569105185	0.9998728946185601	0.01594299985823092
2.029738e-07	-9.876976660330697e-05	0.9982145429652628	0.05973036461620433	-0.00012394398597059353	0.9998586216044199	0.0168143225019026
2.135045e-07	-9.651484589216682e-05	0.9981619495070562	0.0606029144609196	-0.00012394181678192917	0.999843590677021	0.017685554006252366
2.240348e-07	-9.481746023962692e-05	0.9981085869563673	0.061475520767319144	-0.00012393953817724853	0.9998278020632472	0.018556693142019076
2.345647e-07	-9.369752344891881e-05	0.9980544589827919	0.062348120463577364	-0.0001239371502131865	0.9998112559923262	0.0194277386906005
2.450943e-07	-9.31680469453541e-05	0.9979995695874028	0.06322064870810715	-0.0001239346529504929	0.9997939526958594	0.02029868944024954
2.556234e-07	-9.323499197108697e-05	0.9979439230602758	0.06409303967126853	-0.00012393204645367556	0.999775892407881	0.02116954418198486
2.661521e-07	-9.38972162424989e-05	0.9978875239334027	0.06496522732489554	-0.0001239293307906247	0.9997570753649387	0.022040301705405017
2.766805e-07	-9.514651391916773e-05	0.9978303769297804	0.06583714622698432	-0.0001239265060322277	0.9997375018061939	0.022910960794600095
2.872084e-07	-9.696774560722197e-05	0.9977724869094945	0.06670873228970049	-0.0001239235722519803	0.9997171719735374	0.023781520224348623
2.977360e-07	-9.933905331886644e-05	0.9977138588136242	0.06757992352008162	-0.0001239205295255974	0.9996960861117132	0.02465197875678009
3.082631e-07	-0.00010223215394247878	0.9976544976067548	0.06845066072435345	-0.00012391737793062579	0.9996742444684436	0.02552233513865951
3.187899e-07	-0.00010561270389463261	0.9975944082188377	0.06932088816845793	-0.00012391411754605845	0.9996516472945491	0.026392588099424585
3.293163e-07	-0.00010944072724353141	0.9975335954870673	0.07019055418908852	-0.00012391074845194593	0.9996282948440551	0.02726273635007025
3.398423e-07	-0.00011367109965212747	0.997472064098373	0.07105961175106731	-0.00012390727072900178	0.9996041873742785	0.028132778582938767
3.503679e-07	-0.00011825408093386269	0.9974098185330649	0.07192801894818884	-0.00012390368445819525	0.9995793251458903	0.029002713472426327
3.608931e-07	-0.00012313588969185835	0.9973468630101189	0.07279573944557267	-0.00012389998972032494	0.9995537084229462	0.029872539676575643
3.714179e-07	-0.00012825931429591826	0.9972832014345672	0.073662742862108	-0.00012389618659556812	0.9995273374728852	0.030742255839483146
3.819424e-07	-0.00013356435521508727	0.9972188373474511	0.0745290050917163	-0.00012389227516299968	0.9995002125664927	0.031611860594403886
3.924664e-07	-0.000138988894288674	0.9971537738788261	0.07539450856197824	-0.00012388825550007878	0.9994723339778306	0.032481352567409014
4.029900e-07	-0.000144469386820909	0.9970880137043396	0.07625924242825395	-0.0001238841276821026	0.9994437019841331	0.03335073038142019
4.135133e-07	-0.00014994157233476658	0.9970215590059623	0.07712320270090794	-0.00012387989178163077	0.9994143168656795	0.034219992660429785
4.240361e-07	-0.000155341199399871	0.9969544114375101	0.07798639230275879	-0.00012387554786788663	0.9993841789056401	0.035089138033704496
4.345586e-07	-0.00016060475918514184	0.9968865720956289	0.07884882105356998	-0.0001238710960061469	0.9993532883899128	0.03595816513977611
4.450806e-07	-0.0001656702213660831	0.9968180414969511	0.07971050557837725	-0.00012386653625713265	0.9993216456069506	0.036827072630030204
4.556023e-07	-0.0001704777648204007	0.9967488195621131	0.08057146913682504	-0.00012386186867641987	0.9992892508475926	0.03769585917172698
4.661235e-07	-0.00017497049434591223	0.9966789056072833	0.08143174137149538	-0.00012385709331388863	0.9992561044049071	0.0385645234503163
4.766444e-07	-0.00017909513354916223	0.9966082983437639	0.08229135797445875	-0.00012385221021323186	0.9992222065740535	0.03943306417094176
4.871648e-07	-0.0001828026832424258	0.9965369958860846	0.08315036027292519	-0.0001238472194115457	0.999187557652173	0.0403014800590703
