# t (s)	mx ()	my ()	mz ()
1.0008823151969937e-11	0.9843846207478558	0.17510808061326494	0.0035684516599015833
2.000112844644688e-11	0.9385863522108252	0.34452580012930284	0.007276720728761463
3.0000064784242524e-11	0.8639438365640937	0.5034342674287204	0.01077879320762751
4.0007954765509723e-11	0.7623494749109005	0.6468680164689093	0.014295006771025747
5.000105918381913e-11	0.6374106515487367	0.7701755005505332	0.01801282717333826
6.000746165162712e-11	0.49276700857672695	0.8698221700966331	0.021352726384120016
7.000404637043433e-11	0.33304793667782223	0.9425164277099269	0.024736322182773385
8.00016955891277e-11	0.16291978152526657	0.986146802199235	0.028262039771718896
9.000062727526135e-11	-0.01207401291551444	0.9993340178778396	0.03169649112650129
1.0000475204177224e-10	-0.18671191926902236	0.9817214845560964	0.035291276488748476
1.1000112719693688e-10	-0.3555658063680749	0.9337623394580146	0.03881611689186008
1.2000349412288204e-10	-0.5134135296237541	0.8570265188557603	0.04245277726655765
1.3000786616077875e-10	-0.6553371608063862	0.7538559391479775	0.04608508708248218
1.4000148547169975e-10	-0.7769262095430575	0.6275219375688167	0.0494749009968453
1.5000474111370323e-10	-0.8746593123406351	0.4817858303814615	0.05296211790916928
1.600075455085417e-10	-0.9452492294346894	0.32122426393355935	0.05639798054277317
1.700019392754438e-10	-0.9866346307081595	0.1509757645438543	0.05980938808421708
1.8000518644748768e-10	-0.9976751745769588	-0.02405312352010261	0.06328602924797896
1.9000816983524205e-10	-0.9778117258127608	-0.19823559445808706	0.06680490266519616
2.0000183305546913e-10	-0.9278523706428199	-0.36602053158140646	0.07046578822447627
2.1000462881385327e-10	-0.8492852123898934	-0.5226507491959318	0.0740063436947656
2.2000785060420212e-10	-0.7445185506128303	-0.6630347777584609	0.07752341322175982
2.300015084478878e-10	-0.6169349270724676	-0.7827514025918522	0.08109017108179764
2.40003400592042e-10	-0.47030759907785696	-0.8783882576169159	0.08446636031941789
2.500056120311211e-10	-0.30928531199292997	-0.9468665903345214	0.0878550706774093
2.6000802039706017e-10	-0.13874983135394936	-0.9860479914594924	0.09129858392778237
2.700021518219005e-10	0.03578207964802098	-0.9947900820729022	0.0947468580335282
2.8000445477587015e-10	0.20920890627716446	-0.9728820546114395	0.09829300202646905
