#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z	u_x	u_y	u_z	Dt
0.000000e+00	0.09950371902099892	0.9950371902099892	0	0	0	0	0	1	0	6.842063258791404e-10
3.730142e-07	0.04931764759135874	0.9987831444051104	9.396563284417619e-06	0.0023223194232232986	0	0	0.0029015924019988267	0.9999957903705081	-1.6719564713914059e-06	5.38208108229609e-10
7.489862e-07	0.10201532304323493	0.9947828274094392	1.2476634934495062e-05	0.004534228457652128	0	0	0.011506336497578836	0.9999337999187647	6.514748447902679e-07	5.364406945478827e-10
1.114634e-06	0.15300178858481372	0.988225911727252	8.982726281111598e-06	0.006444817152194165	0	0	0.02482998894553538	0.9996916882929028	2.655284794551772e-06	4.782635318415539e-10
1.470012e-06	0.1993802050454189	0.9799222079654099	1.3124156147528208e-05	0.00797799137642694	0	0	0.04170278627138557	0.9991300604024973	4.159991745596013e-06	6.574457558126238e-10
1.830875e-06	0.24062188596618084	0.9706189303427908	7.368532789967083e-06	0.00912916129666023	0	0	0.06182862282327121	0.9980867804807586	5.415875935701622e-06	6.181885263907774e-10
2.212165e-06	0.27557502196827105	0.9612795675730463	1.528934152537496e-05	0.00983690842639938	0	0	0.08515699882477921	0.9963675453915475	6.448190603125015e-06	5.266772801604347e-10
2.662639e-06	0.30344238817979874	0.9528497872174726	7.440252397897687e-06	0.009947832212365488	0	0	0.11362886704154049	0.9935232662202458	7.342394418396264e-06	5.330531628227278e-10
3.057875e-06	0.3150398802578882	0.9490784339118733	1.1422854730193176e-05	0.009391932348529988	0	0	0.13778301772278567	0.9904624374318045	7.990702197416868e-06	5.479245579255357e-10
3.425534e-06	0.3149131823430009	0.9491204809748228	1.344340716268847e-05	0.008356229449836395	0	0	0.15828456441099706	0.9873935368434764	8.303690623518644e-06	6.777289276990105e-10
3.779067e-06	0.30502083814337483	0.9523456768923487	-1.6635978819677126e-06	0.006940755273101957	0	0	0.17524802665220396	0.9845243161481224	8.22073486708209e-06	4.687187800349958e-10
4.136087e-06	0.28562953210335496	0.9583401120634694	7.719018521524296e-07	0.005165464422304165	0	0	0.1888346854108429	0.9820088907574874	7.683567034018397e-06	4.524575668419376e-10
4.504845e-06	0.2561909304490648	0.9666261982555674	-1.2771534632491966e-06	0.003061202988668105	0	0	0.19842227335421303	0.9801166264256989	6.391629407109303e-06	6.629183172200533e-10
4.880199e-06	0.2173515909279125	0.9760933797051573	-4.107208220101348e-06	0.0007520197136106993	0	0	0.2029795565041727	0.9791829755570084	4.5488975298429354e-06	7.247777628195453e-10
5.255032e-06	0.1710694257752532	0.9852589767371241	-1.7995565899497828e-05	-0.0015955663992053082	0	0	0.20195863379724352	0.9793940525799595	2.398834582293931e-06	5.20862505889392e-10
5.632286e-06	0.11912537854252817	0.992879219253184	-1.2739208047702012e-05	-0.0038690876854143366	0	0	0.19526153705677804	0.9807512080778811	3.79812263298013e-08	5.562771298715469e-10
6.004608e-06	0.06547319658495247	0.9978543280867469	-2.115408981487916e-05	-0.005901253327788552	0	0	0.1833516203480297	0.9830473962685705	-2.3100292674815114e-06	4.945558219455358e-10
6.366994e-06	0.014255109536926585	0.9998983906278057	-1.649285572152641e-05	-0.007571293456256623	0	0	0.16727443395437921	0.9859103730701905	-4.223723960709564e-06	6.494479703463728e-10
6.721067e-06	-0.03166168136984088	0.9994986432035962	-1.2923054369198715e-05	-0.008826065801145559	0	0	0.14808770473730243	0.9889742320571595	-5.708705540458177e-06	5.78928965737849e-10
7.089721e-06	-0.07211113979989983	0.9973966025165147	-2.8377330970089595e-05	-0.009669567857437469	0	0	0.12550591925118346	0.9920928707457444	-6.955807519671137e-06	5.447031009091618e-10
7.515595e-06	-0.10642700394820138	0.9943205178671201	-2.4063920011247093e-05	-0.009999519928357539	0	0	0.09770898454081904	0.9952150291637413	-8.161853042143366e-06	5.580069759826122e-10
7.930627e-06	-0.12513182754825192	0.992140123998258	-9.335745991735486e-06	-0.00963618448657889	0	0	0.07067377531313321	0.9974994824058775	-9.11018192259606e-06	5.311050777188405e-10
8.298411e-06	-0.12899063576726086	0.9916458115618447	-1.7210701501542988e-05	-0.008767872448954571	0	0	0.04823662951243285	0.9988359362184508	-9.58598495568876e-06	5.436145048028906e-10
8.653153e-06	-0.12153000646994509	0.9925877580215404	-1.237688682662673e-05	-0.007487993247840758	0	0	0.02910294122271915	0.9995764196497058	-9.615725942068079e-06	5.313887500796931e-10
9.009751e-06	-0.1035117948699514	0.9946282261719924	-4.9756648308765836e-06	-0.005828177801309948	0	0	0.013314226332537659	0.9999113617186578	-9.116232022859088e-06	6.049295974947528e-10
9.383230e-06	-0.07425257835544312	0.9972394670320563	1.0906687047792775e-06	-0.0037790063681953003	0	0	0.0013482605145937678	0.9999990910658763	-7.810666833223344e-06	5.586769274269888e-10
9.760145e-06	-0.0353436681990692	0.999375217371985	4.575135847269491e-06	-0.0015013568390867872	0	0	-0.005305932826768409	0.9999859234215138	-5.971608854899575e-06	6.635178352134043e-10
1.013218e-05	0.010436088266306029	0.9999455424140482	1.636987389598749e-05	0.0008295677694977837	0	0	-0.0061428407287495	0.9999811325684582	-3.858073715521944e-06	4.924071870532921e-10
1.050833e-05	0.061638918156432944	0.9980985138342967	2.121964146434439e-05	0.00313987528967864	0	0	-0.0011477306037867376	0.9999993413557958	-1.5607382542018583e-06	4.573970294434924e-10
1.088111e-05	0.11425803177334018	0.9934511070215135	1.1533096485553216e-05	0.005257685422916647	0	0	0.009290600767111351	0.9999568414371113	7.08631053092095e-07	5.150980298956919e-10
1.124347e-05	0.1640845847349085	0.9864462724647233	2.4348018922513782e-05	0.007041993886581381	0	0	0.02405870391229658	0.9997105474884049	2.5483662141978064e-06	5.073149317453511e-10
1.159781e-05	0.20867917243344658	0.9779841525076213	2.089118295177877e-05	0.008435904061261958	0	0	0.04207847602694725	0.999114308695295	3.9462245664597136e-06	5.143890485628034e-10
1.196525e-05	0.24812875846956403	0.9687270611899745	1.1772362527262352e-05	0.009440838296926228	0	0	0.06345288772039816	0.9979848350619805	5.1239078572864845e-06	5.73249051150507e-10
1.236411e-05	0.28091006781976213	0.9597340953109449	9.755958714239312e-06	0.009963569485316124	0	0	0.08838126026383583	0.9960867195164107	6.10014534449861e-06	5.444767510819009e-10
1.282010e-05	0.30386102296634304	0.9527163684513517	2.591521024342742e-06	0.00979841985053258	0	0	0.11713820862860298	0.9931156226900578	6.944101810646939e-06	5.273464219856913e-10
1.319874e-05	0.31060436116096324	0.9505392841906628	6.171913500829175e-06	0.009051633650722172	0	0	0.1396908860036925	0.9901951607191822	7.471030387143102e-06	5.222822969526865e-10
1.356004e-05	0.30660614615959647	0.9518364728072359	1.3078225953201136e-05	0.00786273340336398	0	0	0.15892699487338446	0.9872903373588565	7.638773448832433e-06	4.96026314389455e-10
1.391360e-05	0.29305981362411343	0.9560941091945935	1.4130299157641002e-06	0.0063081770430764884	0	0	0.1746961662811715	0.9846223892600243	7.385290021862111e-06	5.297341980879735e-10
1.427422e-05	0.2698521854422447	0.9629017592606879	-4.9716082162364045e-06	0.004403801450313074	0	0	0.18689588736194948	0.9823797266048424	6.556250187656393e-06	4.941156046881052e-10
1.464647e-05	0.23657299670558457	0.9716137181027151	-4.935316081436755e-06	0.002203062147076554	0	0	0.19471166789121647	0.9808605233985926	5.025884345636876e-06	5.625225013887379e-10
1.502245e-05	0.19449087260698888	0.9809043277753433	-1.4972442263999247e-05	-0.00014106044347151288	0	0	0.19719334171222544	0.9803646188919042	3.0491066677862853e-06	4.910049821987427e-10
1.539914e-05	0.14554422638121406	0.9893517463413469	-1.3357456960202548e-05	-0.002481688707662883	0	0	0.19399274545612022	0.9810029636600277	7.996097144371332e-07	6.244709975741858e-10
1.577476e-05	0.09246272781967976	0.995716146104991	-1.870743402151265e-05	-0.004677938501827323	0	0	0.18521191956127908	0.9826986032603026	-1.6360908418464119e-06	5.243993662990483e-10
1.614352e-05	0.03930643706914053	0.9992272030276853	-2.7099795877138877e-05	-0.006582528769135303	0	0	0.17156176948538454	0.9851733650663591	-3.85617564641839e-06	4.986961679158339e-10
1.649845e-05	-0.009623945169315997	0.99995368856085	-2.032065119075931e-05	-0.008084457321925849	0	0	0.1543738233206205	0.9880125113796264	-5.54054172913703e-06	5.475519425051874e-10
1.685550e-05	-0.05355761947755948	0.9985647606612754	-1.2703816641636305e-05	-0.00919120847224069	0	0	0.13395555608431992	0.990987340456998	-6.935913334927615e-06	6.825912065071803e-10
1.723376e-05	-0.09138099358442382	0.9958160040515082	-9.295724312654366e-06	-0.009860404469951985	0	0	0.11006773327808986	0.9939240886632286	-8.123674165251229e-06	5.277522940441269e-10
1.768257e-05	-0.1217465119220215	0.9925612256867132	-9.905102713198125e-06	-0.009934275030642734	0	0	0.08056740637411546	0.9967491624999054	-9.267443444061622e-06	5.510740804616102e-10
1.806842e-05	-0.13393370849030692	0.9909902932297521	-2.1317694399751488e-05	-0.00936897231063085	0	0	0.05588405331788308	0.9984372651724969	-9.98144706283485e-06	6.282477245479292e-10
1.843127e-05	-0.13341371106802755	0.991060432899367	-6.354256839865588e-06	-0.008336395991695708	0	0	0.03459388939083756	0.9994014522255689	-1.0307223680367637e-05	5.367032583188593e-10
1.878400e-05	-0.12208820608674845	0.9925192541840747	-2.8996702735205153e-06	-0.006918423485811606	0	0	0.01673946597350495	0.9998598852717766	-1.0160312408632022e-05	5.404951872333725e-10
1.914474e-05	-0.10012329507621526	0.994975037768535	7.641406756574913e-07	-0.00511885564362875	0	0	0.00229516659073177	0.999997366058003	-9.34757836387644e-06	4.879534526365774e-10
1.951753e-05	-0.06746173687859668	0.9977218620568884	5.573009534891618e-06	-0.0029852204325039574	0	0	-0.007784456143759889	0.999969700631634	-7.824712520633423e-06	6.20452699826619e-10
1.989178e-05	-0.025965687949230966	0.999662834609742	1.2220430381906969e-05	-0.0006794205703333708	0	0	-0.012371159648052374	0.999923474259038	-5.890445662590958e-06	4.892780956430371e-10
2.026649e-05	0.02219893943273353	0.9997535731392563	9.129720917714804e-06	0.0016666213710254808	0	0	-0.011132945894106839	0.9999380268307145	-3.6900259941057617e-06	6.018616270647655e-10
2.064253e-05	0.07449179844787816	0.9972216262219927	1.2616066937786066e-05	0.0039283734422369595	0	0	-0.004097934185070194	0.9999916034315699	-1.3315219146280702e-06	5.723279875743898e-10
2.101273e-05	0.12672208774544916	0.9919382601409305	2.3367037368372355e-05	0.005942386740861215	0	0	0.008071239475804515	0.9999674270158139	8.352075111986475e-07	4.852656478383048e-10
2.136765e-05	0.17448089573934286	0.9846605591323739	1.763852356986619e-05	0.007573982830001187	0	0	0.02393784750272261	0.9997134486696465	2.445095168283361e-06	5.209753473440338e-10
2.172560e-05	0.21761737453399352	0.976034158340617	7.297604609731556e-06	0.008839426429750975	0	0	0.043205806493417036	0.9990661931379066	3.7662516932669948e-06	6.230620839437262e-10
2.209695e-05	0.25466004863992037	0.9670306404611307	6.004077463775021e-06	0.00968104869059087	0	0	0.06554320361396507	0.9978497323927205	4.877957376372847e-06	5.38780752266193e-10
2.252597e-05	0.2855012221441574	0.9583783449122154	1.2550505813232943e-05	0.009998668462526722	0	0	0.09270862799026847	0.9956932812172442	5.916088498262378e-06	5.417986263000072e-10
2.294564e-05	0.30202579601430174	0.9532997527165856	3.5247986956977935e-06	0.009610541044348367	0	0	0.11892468478556269	0.9929032779198168	6.688628017466316e-06	5.041301604051707e-10
2.331624e-05	0.30509804282051006	0.9523209459103394	1.5733112937787235e-05	0.008713463842830428	0	0	0.14040141348457588	0.990094663676927	7.071495427748373e-06	6.333679210316201e-10
2.367283e-05	0.29796467977734364	0.9545768955231483	1.177173632383584e-05	0.007405470441739943	0	0	0.15853506635979667	0.9873533474312265	7.116635401594891e-06	4.673401976968854e-10
2.402663e-05	0.2813702174010639	0.9595992917526671	5.240051949811807e-06	0.005741694377575259	0	0	0.17322508150738591	0.9848822625530891	6.71326235902291e-06	5.123731855018527e-10
2.439396e-05	0.25461910962740714	0.9670414205009116	-6.937279038163193e-06	0.003716494599831457	0	0	0.18424690382926667	0.9828799918595206	5.61762708039351e-06	5.709531745122675e-10
2.476657e-05	0.21835413645555674	0.975869597292526	-1.3148061462949236e-05	0.0014614333957211941	0	0	0.19040834016383512	0.981704978076837	3.9000444760342565e-06	4.858742155169641e-10
2.514354e-05	0.1736601594309153	0.9848056401726546	-1.0514638305416125e-05	-0.0009006751551912938	0	0	0.19108580611331094	0.9815733363833333	1.8215268800179907e-06	5.373393603315028e-10
2.552043e-05	0.12291592978941554	0.9924170866451476	-1.8405464972207568e-05	-0.0032119853461091033	0	0	0.18604197480810314	0.9825417973853596	-4.980828696435613e-07	5.289194684658288e-10
2.589438e-05	0.06931666510790889	0.9975947071106442	-1.6826952707273492e-05	-0.0053284283482759685	0	0	0.17557170059155397	0.9844666464349844	-2.906102724075026e-06	6.276662579749217e-10
2.625972e-05	0.01705370812025504	0.9998545748768239	-1.1714732270514853e-05	-0.0071141424957472926	0	0	0.16058424866274149	0.9870221370651431	-4.978037065013697e-06	4.880715140668863e-10
2.661285e-05	-0.030221050088709307	0.9995432394126885	-2.5998549634298362e-05	-0.008486272576473794	0	0	0.14236109502917915	0.9898147900387337	-6.5322709592639316e-06	5.317954226231107e-10
2.697653e-05	-0.072489685003115	0.9973691619031112	-2.1279920600427833e-05	-0.009463971274163614	0	0	0.12072735341033326	0.9926857035723613	-7.847461481160156e-06	5.559615366200861e-10
2.737078e-05	-0.10807886584165254	0.994142323167258	-6.7815285134953624e-06	-0.009967056773815035	0	0	0.09532011037211206	0.9954466718401341	-9.00270496024432e-06	5.331128803222414e-10
2.781487e-05	-0.13300133933766567	0.9911158578127243	-1.124877143336811e-05	-0.009804937660864835	0	0	0.06617683513874789	0.9978079105666041	-1.0085966804809088e-05	5.318049586195453e-10
2.819204e-05	-0.14062187340137638	0.990063375932718	-1.8915522665558234e-05	-0.009069442174902728	0	0	0.042597795447168164	0.9990923018965382	-1.0682598881451729e-05	5.051041093629922e-10
2.855070e-05	-0.13631902338233062	0.9906649907328466	6.136824239257814e-07	-0.007898842042309472	0	0	0.022434777137060383	0.9997483086542585	-1.0851742529762752e-05	5.213520632770841e-10
2.890427e-05	-0.12149538558825293	0.9925919963735698	-3.9866195742588695e-06	-0.006353524066551215	0	0	0.005712382516171678	0.9999836841544754	-1.0527655762130779e-05	5.347996741608623e-10
2.927213e-05	-0.0957040158522769	0.9954098358552682	5.686430822754193e-06	-0.004415572297862211	0	0	-0.007471368204696986	0.9999720888943964	-9.451319913680907e-06	4.855666384773368e-10
2.964579e-05	-0.059829167979677245	0.9982086307867407	9.039925101111798e-06	-0.0022072315491492855	0	0	-0.015731193466579876	0.9998762570898974	-7.74691076625381e-06	4.880353233887752e-10
3.002041e-05	-0.015786463124917834	0.9998753860140713	5.021723933754463e-06	0.00012825932648387214	0	0	-0.01833647199601944	0.999831872747688	-5.708802570306652e-06	6.354870307454324e-10
3.039502e-05	0.034048588466361954	0.9994201786663107	9.901937942918717e-06	0.0024565808407636383	0	0	-0.01509538253146297	0.9998860582157945	-3.4510898326667033e-06	4.579504042250543e-10
3.076880e-05	0.08672530223215742	0.9962322630001385	1.0505428508842273e-05	0.004644836716755469	0	0	-0.0062263112682943616	0.9999806163354803	-1.1416874817104877e-06	5.238121836841041e-10
3.113572e-05	0.1381214301688727	0.9904153017823553	2.2879495069383104e-05	0.006545550109305412	0	0	0.007429128723653396	0.9999724036420383	8.78751889264426e-07	4.750728064976267e-10
3.148956e-05	0.18443959288077896	0.9828438515431908	7.856135927652796e-06	0.008051429243264392	0	0	0.024482835584796112	0.9997002504531377	2.3794630475550604e-06	5.159303824302747e-10
3.185100e-05	0.2258169250484865	0.9741697574433906	6.658200345105287e-06	0.009180028783293418	0	0	0.04487031553427425	0.9989928201798216	3.6085125681765264e-06	5.387249143288551e-10
3.223418e-05	0.2608340025836044	0.9653836660408105	2.092417279488029e-05	0.009860845060539716	0	0	0.0685276757590736	0.9976492157232655	4.670414926561792e-06	5.149382319288579e-10
3.268471e-05	0.28833020433358997	0.9575310402056499	1.7653228852488228e-05	0.009932726829993419	0	0	0.09719109897920127	0.9952657385080617	5.587279960304699e-06	5.360605196496128e-10
3.307812e-05	0.29936599938617875	0.9541383537701649	1.6621507330349472e-05	0.009347499776999366	0	0	0.12132861978770548	0.9926123946341666	6.247882624131571e-06	5.857580655407522e-10
3.344375e-05	0.2986643702431527	0.954358210401963	1.3624382317041627e-05	0.008292825357826971	0	0	0.14175042063892526	0.9899024286291866	6.536509656328764e-06	6.571877228766327e-10
3.379713e-05	0.2881360176575908	0.9575894920413746	7.769601892294587e-06	0.0068585975582437925	0	0	0.15868372397626468	0.9873294666441722	6.41555534157304e-06	5.037385156977572e-10
3.415549e-05	0.2679403333301691	0.9634355078289522	5.411767051068912e-06	0.005060677804171543	0	0	0.1722243366449829	0.98505775355223	5.816314951375243e-06	6.548312529674978e-10
3.452544e-05	0.23758917725037149	0.97136573073664	-1.9913421604301093e-06	0.0029377598841807983	0	0	0.18165442509602012	0.983362430552981	4.468566370171903e-06	5.200625836643224e-10
3.490109e-05	0.1979138499849266	0.9802194182530681	-7.98501947157668e-06	0.0006210798297059733	0	0	0.18594502832052454	0.9825601490169238	2.592289095049657e-06	5.432815586787246e-10
3.527703e-05	0.1508210494183619	0.9885610810003697	-1.3554519749280841e-05	-0.0017318732473790295	0	0	0.18458845667819263	0.9828159042572507	4.069210569210623e-07	5.471957929055656e-10
3.565375e-05	0.09853428103165768	0.9951336567911175	-2.414772962310128e-05	-0.003993067135280835	0	0	0.17753913867383145	0.9841137404970405	-1.969259748482279e-06	5.03644992752543e-10
3.602629e-05	0.04477027287505727	0.9989973085237162	-1.513485796254897e-05	-0.006010657440913093	0	0	0.16527636986744584	0.986247292287764	-4.3003978022994336e-06	5.0701139616176e-10
3.638410e-05	-0.0056015076728143124	0.999984311301742	-1.6191736861757342e-05	-0.007641065052555721	0	0	0.1491333358323912	0.9888170953748101	-6.1666151522492076e-06	5.812896447553825e-10
3.673768e-05	-0.05100991116350763	0.9986981469598851	-1.4899093844616125e-05	-0.008874652873439366	0	0	0.12978914515789022	0.9915416167469365	-7.619409548077061e-06	7.248112302729396e-10
3.710673e-05	-0.09086823582648954	0.9958629240874798	-1.2071298104373807e-05	-0.009696254773086893	0	0	0.10706401055848791	0.9942521297762744	-8.858595183385416e-06	5.581473857610793e-10
3.753699e-05	-0.12463544986752079	0.9922026024449984	-1.837643188607667e-05	-0.009997298681410827	0	0	0.07894016836223605	0.9968793556487934	-1.0009430045285364e-05	5.540698835868564e-10
3.795143e-05	-0.14242033621423705	0.9898062675800667	-2.2177491079492315e-05	-0.009600430435219227	0	0	0.0520197350747437	0.9986460569416205	-1.0849293278040403e-05	6.148928079917509e-10
3.831778e-05	-0.14559314429686132	0.9893445488228689	-6.94460969592915e-06	-0.008708703600867564	0	0	0.029817547788804296	0.9995553580049561	-1.1289230209901335e-05	5.232297577249384e-10
3.867236e-05	-0.13760442669271344	0.9904872647911537	-6.411610604860748e-06	-0.0074074630866228595	0	0	0.010889135597198785	0.9999407115419021	-1.1270332953671983e-05	5.312802694742264e-10
3.902853e-05	-0.11919323277929238	0.9928710758316454	-6.044223169231373e-06	-0.005731869275477455	0	0	-0.004644161038515201	0.9999892157684704	-1.0724171351162e-05	6.138514957993056e-10
3.940042e-05	-0.08973999924422622	0.9959652265614701	4.000672675540247e-06	-0.0036788051600812354	0	0	-0.016296396057228702	0.9998672048762608	-9.40635120732928e-06	6.207020669203801e-10
3.977680e-05	-0.050602101366700424	0.9987188930024739	9.858369667103934e-06	-0.0013978188863740964	0	0	-0.02267697128169935	0.999742844393768	-7.546327912497896e-06	4.957315290435926e-10
4.014935e-05	-0.004528232405109942	0.9999897474836604	6.233034895104783e-06	0.0009370065365543779	0	0	-0.023251217006095334	0.9997296538956002	-5.433118795727829e-06	6.77589353728895e-10
4.052420e-05	0.046744347412865324	0.9989068853510435	1.9576085033463344e-05	0.003234399961174842	0	0	-0.01801862882818053	0.9998376513241359	-3.1286121955469545e-06	4.638023224864977e-10
4.089755e-05	0.09968001966996339	0.9950195443003563	1.1785885382420914e-05	0.005345244633967501	0	0	-0.007325295977847312	0.9999731696591236	-8.501327719267223e-07	7.301857434602716e-10
4.125763e-05	0.14939371699735157	0.9887777895722616	1.3050200799518969e-05	0.00710489538276334	0	0	0.00756060843676792	0.9999714181910977	9.750552469894648e-07	4.937683613090752e-10
4.161021e-05	0.19397931809739713	0.9810056187615322	1.042939949887729e-05	0.008477487086926664	0	0	0.025667984883669087	0.9996705229956829	2.35579268773827e-06	5.688331238110612e-10
4.197623e-05	0.23342433252389394	0.9723749690472423	2.358282943677314e-05	0.009463350960543671	0	0	0.04712435640028338	0.9988890303839897	3.5202198073218964e-06	5.249017382844806e-10
4.237594e-05	0.266330729542047	0.9638817055877502	1.1612531106677387e-05	0.009969632552899411	0	0	0.07227263533297662	0.9973849137425268	4.564995952647463e-06	5.307957032822853e-10
4.282182e-05	0.28884153282744895	0.9573769210171497	4.1966767352867266e-06	0.009796255851885283	0	0	0.10056381318080296	0.9949306103679234	5.607846337472004e-06	4.989238262103916e-10
4.320116e-05	0.2955936740545219	0.9553137598192729	1.2606115171295736e-05	0.009045163366639955	0	0	0.12330606107040475	0.9923686891805309	6.1169092241889725e-06	5.986742723116542e-10
4.356199e-05	0.29149146745552623	0.95657342854734	1.406451686495335e-05	0.007855143212863892	0	0	0.1426428913741497	0.9897742194566259	6.280904599430728e-06	6.237793681540148e-10
4.391377e-05	0.2778097688846755	0.960636108165937	-2.138116528816225e-07	0.006307350006787325	0	0	0.15844087591351813	0.9873684665834659	6.0309897757637775e-06	5.241522114357113e-10
4.427445e-05	0.25433121566312866	0.9671171763231445	-2.5105812990862623e-07	0.004402500314675556	0	0	0.17073162766259686	0.9853175687506871	5.188014692427453e-06	7.253801822360425e-10
4.464624e-05	0.2207978415512847	0.9753195953339159	-1.1134657894061293e-05	0.0022044637159044866	0	0	0.1785940820955845	0.9839228393665755	3.6403076708462407e-06	4.892673795744957e-10
