#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z
0.000000e+00	-0.0076716044994219225	0.021769703268073533	-0.007456964149327982	0	0	1e-05
6.682826e-08	-0.014623578138265774	0.009407239531765761	-0.018987905998735684	0	0	9.930965566950625e-06
1.355515e-07	-0.007164231106709412	0.010992293216086645	-0.033660223698337655	0	0	9.716994292004089e-06
2.026824e-07	-0.00866404117430464	-0.0010312029693545412	-0.02209934307296966	0	0	9.370970029448632e-06
2.698166e-07	-0.016447114314189454	0.01598087370128565	-0.030520167018451484	0	0	8.894362317848155e-06
3.364854e-07	-0.018843656988277332	-3.985427530182955e-05	-0.025499187586657278	0	0	8.298396418278358e-06
4.033966e-07	-0.014818515002642535	0.00927652739178147	-0.03501759866029455	0	0	7.58562338631354e-06
4.705059e-07	-0.0075993472542717115	0.008877442320503073	-0.04668997786560381	0	0	6.76529061859984e-06
5.384454e-07	-0.01210537242173991	0.007755093681110445	-0.04565903392496386	0	0	5.838913371986628e-06
6.063304e-07	-0.003381973824548911	0.003874727519288757	-0.04632827620532502	0	0	4.830057693454317e-06
6.743850e-07	-0.006487761550955871	0.001065683574585225	-0.04454125949340588	0	0	3.749625186475787e-06
7.409454e-07	-0.02274415523344296	0.0009212315402994944	-0.0459833811109807	0	0	2.640868458094851e-06
8.100026e-07	-0.014694705441242241	-0.0032394781053257955	-0.049601793091979256	0	0	1.4524969467062813e-06
8.766268e-07	0.0013274858221163975	0.0025671067423699784	-0.04081693533534489	0	0	2.855008839578093e-07
9.449470e-07	-0.008807294721319456	0.004411797040580762	-0.04826471371917904	0	0	-9.151300071451287e-07
1.011924e-06	-0.01568981866282811	0.005382409790488789	-0.05319020726079993	0	0	-2.0794484331542076e-06
1.079855e-06	-0.015335438371169371	0.01075601220637907	-0.04866416061763617	0	0	-3.2308177811545383e-06
1.147390e-06	-0.01943317989894938	0.0037420947838895193	-0.044630516001707414	0	0	-4.329806257083566e-06
1.215592e-06	-0.005998281415543233	-0.0010793256953356087	-0.059693014573903476	0	0	-5.377659912482633e-06
1.282657e-06	-0.022251935013513857	0.00473436845355253	-0.05543609382165302	0	0	-6.332698570532567e-06
1.351064e-06	-0.018876361110939537	0.01018289840552206	-0.03757202377577013	0	0	-7.216062541963107e-06
1.419221e-06	-0.006997101337427197	0.010774926473725464	-0.04604930655915873	0	0	-7.99238438489222e-06
1.487619e-06	-0.019719664921720382	0.016327017147171937	-0.041790354696408676	0	0	-8.656061361107078e-06
1.555785e-06	-0.006321991922793079	0.006817154227968574	-0.04540796161972635	0	0	-9.192940360212105e-06
1.623245e-06	-0.012070099710294508	0.0016094351483317555	-0.042806089214235864	0	0	-9.594278466077486e-06
1.691899e-06	0.011027945601587165	0.008241847194487744	-0.0431505739322666	0	0	-9.864105215231829e-06
1.758638e-06	-0.000732334105163903	0.005564506265875895	-0.04069912511261968	0	0	-9.9886563066942e-06
1.826265e-06	-0.0033494419345497226	0.0039525221820376115	-0.027111448172546362	0	0	-9.974563418022565e-06
1.894871e-06	-0.0009346269742720838	0.002880692195245933	-0.038328828867781314	0	0	-9.816172026975676e-06
1.963083e-06	-0.0013370193783744393	-0.006111077980967341	-0.02206967010860483	0	0	-9.517080858339027e-06
2.031890e-06	0.0014164668914921803	-0.007856373591038905	-0.04171875440201432	0	0	-9.076711893765187e-06
2.099791e-06	0.005482869553283425	-0.0088418495126363	-0.03382410385745812	0	0	-8.511872292411561e-06
2.166233e-06	0.0067684047243029176	-0.010335314601250182	-0.04024917231517738	0	0	-7.841675937268851e-06
2.234448e-06	0.009409764387668617	-0.00093802919659407	-0.0490896200501125	0	0	-7.042331356555445e-06
2.301875e-06	0.019461297337573298	-0.013598138857774764	-0.04166055460628003	0	0	-6.152624808017629e-06
2.369708e-06	0.01787698538012757	-0.02065955300324254	-0.04168415676566255	0	0	-5.1703218276343285e-06
2.437963e-06	0.014406901160144822	-0.004735943151833614	-0.04742653139444022	0	0	-4.107723465671808e-06
2.505206e-06	0.012354655234310962	0.002552910230416281	-0.041973782111674476	0	0	-3.0029403093026894e-06
2.572481e-06	0.003776287671545678	-0.0037250662093503114	-0.04841564698915904	0	0	-1.8556286267736396e-06
2.640480e-06	-0.0020008838136386107	-0.005472383470195617	-0.04018045755713981	0	0	-6.69646297654808e-07
2.708952e-06	2.0067786762711596e-05	-0.020615984400727264	-0.035252196936354965	0	0	5.342306356320874e-07
2.777998e-06	0.007357022542665912	-0.012885334010940252	-0.032874027423767035	0	0	1.7402895473311157e-06
2.846596e-06	-0.005185475124437362	-0.0013414372945973537	-0.03774105642258395	0	0	2.9131803980436562e-06
2.913111e-06	0.0018640816468620557	-0.011619159332714813	-0.029527985057153334	0	0	4.010136865436623e-06
2.981985e-06	-0.010987558318117164	-0.01970259601704933	-0.034499073019959185	0	0	5.088016545659487e-06
3.048406e-06	-0.008822142902054391	-0.016927689319652956	-0.034798298739057695	0	0	6.057010306258193e-06
3.115109e-06	-0.012323839370159169	-0.019586368777890023	-0.04310342628668172	0	0	6.9469588719991534e-06
3.181961e-06	-0.014850344036874316	-0.013138311631078183	-0.023618224752513156	0	0	7.743006182998373e-06
3.250365e-06	-0.026785167262776906	-0.010775551807463804	-0.0268258647698888	0	0	8.446715813776958e-06
3.319168e-06	-0.016365956969831345	-0.01347243966222837	-0.02663478960968603	0	0	9.031267715963749e-06
3.388529e-06	-0.02077002744756544	-0.01785331568107318	-0.017847889082895575	0	0	9.486758168162277e-06
3.457263e-06	-0.012158881207471762	-0.0019643417884206245	-0.008412783990912815	0	0	9.798973949937537e-06
3.525664e-06	-0.007031445103277669	-0.011558756421501311	-0.02838837624437882	0	0	9.96760515718079e-06
3.594698e-06	-0.018584106778244316	-0.008086875881814157	-0.027958894055977453	0	0	9.991621427543738e-06
3.661605e-06	-0.01635453956326841	-0.02059915705694263	-0.019413041610304722	0	0	9.874420477297138e-06
3.731546e-06	-0.01558488668614462	-0.002378897272127518	-0.00965958364328181	0	0	9.605860375543695e-06
3.799234e-06	-0.027225028425192692	-0.006217112942357858	0.003283121034294666	0	0	9.207582850018044e-06
3.864904e-06	-0.013037681511148914	0.001167302285512013	-0.0128068245022215	0	0	8.69646855173236e-06
3.932354e-06	-0.027624347331742335	0.0063453377610463765	-0.023860105825996	0	0	8.050880400948588e-06
4.000033e-06	-0.035749335624944686	-0.0014532886084895524	-0.0202979072527636	0	0	7.28929166677321e-06
4.067307e-06	-0.03417450136681684	-0.01904537382848918	-0.012733636882396105	0	0	6.42994483896121e-06
4.136378e-06	-0.0424572571650079	-0.014239700846418674	-0.022498227206480852	0	0	5.4541593294580385e-06
4.203351e-06	-0.03489842898612221	-0.01943792951110048	-0.009651731939040889	0	0	4.431055501144917e-06
4.272436e-06	-0.04056203703284977	-0.015833723719934537	-0.01711086364858765	0	0	3.31147587382757e-06
4.339423e-06	-0.04035137223241838	-0.014401869983471934	-0.016606570219828233	0	0	2.1790794864539355e-06
4.407289e-06	-0.02682606731331426	-0.016950355660795106	-0.0277289906203945	0	0	1.0010624356629664e-06
4.475260e-06	-0.03184722854003871	-0.005627737669228893	-0.019823001919588804	0	0	-1.9304932619662445e-07
4.544121e-06	-0.03822853355113403	-0.007698187427107472	-0.032023121126485754	0	0	-1.3999144299950757e-06
4.612042e-06	-0.031783211145023936	-0.008902614995226533	-0.022930257252880205	0	0	-2.5702922010117604e-06
4.680215e-06	-0.022887066523027955	-0.010730557163788153	-0.01870524883756288	0	0	-3.708119026918825e-06
4.747019e-06	-0.02687183199840425	-0.010059546379134053	-0.021977866848599672	0	0	-4.771517782281585e-06
4.813881e-06	-0.02270897582002986	-0.012521852553754632	-0.017619584435861355	0	0	-5.769914723871081e-06
4.881083e-06	-0.019180363958955837	0.005875361690417516	-0.009833271690704293	0	0	-6.693017327042789e-06
4.946608e-06	-0.01635706878670169	0.004108380779592166	-0.01041956679462889	0	0	-7.503199468200448e-06
5.014064e-06	-0.019763581812086185	-0.008767797667633404	-0.00579512385418199	0	0	-8.233115176984104e-06
5.083076e-06	-0.009612377549845308	-0.010979348310589566	-0.019791991485391236	0	0	-8.859939462435296e-06
5.151372e-06	-0.0015008371617876092	-0.009124457593517805	-0.005691291161834171	0	0	-9.351866783515623e-06
5.219487e-06	0.0026914390624627484	-0.004562926439805738	-0.01771456588464015	0	0	-9.70818156788155e-06
5.287466e-06	0.0026020074032974574	-0.016879968151130856	-0.027715905542208583	0	0	-9.92496262518429e-06
5.356341e-06	0.002684978657698347	-0.014636750662816982	-0.022864308448567863	0	0	-9.999990059664096e-06
5.424289e-06	-0.0032818178316204793	-0.006458837912719432	-0.033088382279438645	0	0	-9.930308686971946e-06
5.491676e-06	-0.004176684566259474	-0.010094947247364629	-0.028811495351478273	0	0	-9.721210304356046e-06
5.561001e-06	-0.0075637204315358135	-0.011135496221020417	-0.042640355602159244	0	0	-9.363732064243557e-06
5.627556e-06	-2.0727171435536296e-05	-0.006065409501135022	-0.04059289521673987	0	0	-8.88955784751546e-06
5.696480e-06	0.005931709379903011	-0.014708949522047411	-0.03705447264765127	0	0	-8.270292571490638e-06
