#t	<mx>	<my>	<mz>	Dt
1.000000e-15	0.99999999984527	1.7587964812296112e-05	3.517592962458651e-07	6.733341010226045e-15
5.095475e-12	0.9959853081993897	0.08949890192692657	0.001792318286731369	1.1764386539474317e-13
1.015405e-11	0.984089066616156	0.17763995371567626	0.0035715277452404086	1.1763804990121354e-13
1.521231e-11	0.9644068494329694	0.2643686839941638	0.005350485021728621	1.176289831911805e-13
2.027011e-11	0.9370969522096348	0.34899638631122737	0.007129130460105322	1.1761675738952127e-13
2.532732e-11	0.9023788205186538	0.4308516245721852	0.008907406068633137	1.1760149314335902e-13
3.038381e-11	0.8605311690535452	0.5092857080194269	0.010685255939377592	1.1758333783603836e-13
3.543947e-11	0.8118896029299808	0.5836779553756493	0.012462626637251261	1.1756246347722268e-13
4.049417e-11	0.7568437664870472	0.6534407017422991	0.014239467554367958	1.1753906434069856e-13
4.554782e-11	0.6958340493479682	0.718024005254204	0.016015731226520225	1.1751335443255655e-13
5.060032e-11	0.6293478834214842	0.776920014324498	0.017791373609692997	1.1748556485364954e-13
5.565158e-11	0.557915667882045	0.8296669604790383	0.01956635431563682	1.1745594113015206e-13
6.070153e-11	0.48210636194613343	0.8758527461804038	0.0213406368065513	1.174247405787885e-13
6.575012e-11	0.4025227874638871	0.9151181015912551	0.023114188549890776	1.1739222976304353e-13
7.079728e-11	0.31979668498995734	0.9471592888418588	0.024886981135082826	1.1735868208665529e-13
7.584299e-11	0.23458356810968822	0.9717303369794523	0.02665899035460874	1.173243755628844e-13
8.088721e-11	0.1475574214147657	0.9886447953266523	0.028430196252345205	1.1728959078195476e-13
8.592993e-11	0.059405287684877885	0.9977769974162262	0.030200583142334796	1.1725460908813053e-13
9.097114e-11	-0.0291782104199573	0.9990628319633187	0.03197013960123427	1.17219710965876e-13
9.601086e-11	-0.11749636947759326	0.992500021456379	0.03373885843758979	1.1718517462283073e-13
1.010491e-10	-0.2048558815161102	0.9781479128748249	0.03550673664082564	1.1715127474738068e-13
1.060859e-10	-0.2905722448688505	0.9561267887606933	0.03727377531242334	1.1711828140926938e-13
1.111213e-10	-0.37397506875880554	0.9266167103722777	0.03903997958125785	1.1708645906738707e-13
1.161554e-10	-0.45441323248256116	0.8898559079210933	0.040805358504450134	1.1705606564094282e-13
1.211882e-10	-0.5312598620702055	0.8461387359307685	0.0425699249544519	1.1702735160305287e-13
1.262198e-10	-0.6039170895026557	0.7958132145488833	0.04433369549241307	1.1700055904968952e-13
