#t	<mx>	<my>	<mz>	u_anis_x	u_anis_y	u_anis_z
0.000000e+00	0	1e-12	1	0	1	0
-7.963379e-08	7.757169379505468e-15	1.0007770816422076e-12	1	1.4969600707134882e-32	1	3.859530071888605e-18
-1.049138e-07	7.757169379505468e-15	1.0007770816422076e-12	1	1.4969600707134882e-32	1	3.859530071888605e-18
-1.103985e-07	-0.00014678639074675373	-3.1118630614572133e-05	0.9999999887426932	6.606664596012304e-10	0.9999999998628095	-1.6564450310184645e-05
-1.121296e-07	-0.010284576888609192	-0.0027975295904817776	0.9999431990400319	-4.8599976295552464e-08	0.9999999997541665	2.2173515939012422e-05
-1.113316e-07	-0.47556819558604696	-0.5280016955184351	-0.703597257581842	-0.00014499719099145167	0.9999999845025812	9.985315395529668e-05
-1.023411e-07	0.025060790850446008	-0.997041215674696	0.07266891362800564	-0.00014367047364919575	0.9999997987416018	-0.0006179608006739792
-9.214042e-08	3.6172654648539884e-05	-0.9990377265252912	0.04385908880399561	-0.00014364339065175394	0.9999989195746457	-0.0014629477495627363
-8.198540e-08	0.00011935737857075007	-0.998972400237523	0.04532250343370829	-0.00014364309732417614	0.9999973354982031	-0.002303988531832791
-7.145875e-08	0.00012481211167293603	-0.9989323409202334	0.04619699866397196	-0.00014364270445958838	0.9999949472014897	-0.0031756791814272016
-6.092180e-08	0.00012855707417946746	-0.9988915461179644	0.047070825010205	-0.0001436421864705745	0.9999917957519766	-0.004048184242293824
-5.038525e-08	0.00013271326931068463	-0.9988500123085892	0.047944085123398254	-0.00014364154371981132	0.999987883369307	-0.004920618018103045
-3.984909e-08	0.000137231873943064	-0.9988077429890889	0.048816735987313696	-0.0001436407762631414	0.9999832102389207	-0.005792979163607934
-2.931332e-08	0.00014205991226762731	-0.9987647415328273	0.04968874007102878	-0.0001436398841591083	0.9999777765493097	-0.006665266317456517
-1.877795e-08	0.00014714086123505254	-0.9987210111455656	0.05056006572332113	-0.0001436388674686743	0.9999715824920801	-0.007537478103525483
-8.242967e-09	0.00015241528580302197	-0.99867655482253	0.05143068750642076	-0.0001436377262548811	0.999964628261991	-0.008409613133907546
2.291618e-09	0.00015782150186152734	-0.9986313753069859	0.05230058646757221	-0.0001436364605824482	0.9999569140569741	-0.009281670012486554
1.282581e-08	0.00016329626271299638	-0.9985854750507879	0.05316975034663047	-0.00014363507051730828	0.999948440078129	-0.010153647338929156
2.335960e-08	0.00016877546500873475	-0.9985388561774301	0.05403817371740327	-0.0001436335561260803	0.9999392065296953	-0.01102554371290366
3.389299e-08	0.00017419486969518454	-0.9984915204481454	0.054905858059940735	-0.00014363191747548517	0.9999292136190034	-0.0118973577383261
4.442598e-08	0.00017949083283395756	-0.9984434692316617	0.05577281176061132	-0.00014363015463171111	0.9999184615564043	-0.012769088027431298
5.495857e-08	0.00018460104016682495	-0.9983947034782359	0.05663905003671538	-0.0001436282676597412	0.999906950555183	-0.01364073320447845
6.549077e-08	0.00018946523813689038	-0.998345223698598	0.057504594782677165	-0.00014362625662265815	0.9998946808314609	-0.01451229190891945
7.602256e-08	0.0001940259528556979	-0.9982950299484211	0.058369474335570055	-0.0001436241215809451	0.9998816526040921	-0.01538376279788359
8.655395e-08	0.0001982291873913074	-0.9982441218188688	0.05923372315889549	-0.00014362186259180143	0.9998678660945598	-0.016255144547866793
9.708493e-08	0.00020202508686548314	-0.9981924984336973	0.06009738144509974	-0.00014361947970849753	0.9998533215268782	-0.017126435855550588
1.076155e-07	0.00020536856033994956	-0.9981401584532592	0.060960494639213936	-0.00014361697297978968	0.9998380191275067	-0.017997635437718665
1.181457e-07	0.00020821984842382292	-0.9980871000856192	0.06182311288809424	-0.00014361434244941794	0.9998219591252814	-0.018868742030278173
1.286755e-07	0.0002105450260108599	-0.9980333211048187	0.0626852904219015	-0.00014361158815570706	0.9998051417513689	-0.01973975438643448
1.392049e-07	0.00021231643056056197	-0.9979788188761467	0.0635470848765278	-0.0001436087101312875	0.9997875672392458	-0.020610671274107328
1.497339e-07	0.00021351300784090555	-0.9979235903881061	0.06440855656748681	-0.00014360570840295207	0.9997692358247019	-0.02148149147270843
1.602625e-07	0.0002141205689650841	-0.9978676322905845	0.06526976772721925	-0.00014360258299165728	0.9997501477458776	-0.022352213769431417
1.707907e-07	0.00021413195475831568	-0.9978109409386026	0.06613078171870096	-0.00014359933391267562	0.999730303243321	-0.023222836955224334
1.813185e-07	0.00021354710584323104	-0.997753512440893	0.06699166223862893	-0.0001435959611758986	0.999709702560075	-0.02409335982063183
1.918459e-07	0.00021237303916576026	-0.9976953427124786	0.06785247252327917	-0.0001435924647862876	0.9996883459417812	-0.024963781151699685
2.023729e-07	0.0002106237338513233	-0.9976364275303866	0.06871327456940794	-0.00014358884474446266	0.9996662336367994	-0.025834099726131807
2.128995e-07	0.00020831993114062478	-0.9975767625916189	0.06957412838139772	-0.00014358510104741715	0.9996433658963371	-0.026704314309880944
2.234257e-07	0.00020548885459465327	-0.997516343572538	0.07043509125432584	-0.00014358123368934166	0.9996197429745776	-0.02757442365433381
2.339516e-07	0.00020216385773000656	-0.9974551661888729	0.07129621710092734	-0.00014357724266253805	0.9995953651288056	-0.028444426494225173
2.444770e-07	0.00019838400671330658	-0.9973932262556324	0.07215755582866425	-0.00014357312795840153	0.9995702326195155	-0.02931432154638229
2.550021e-07	0.00019419360575658766	-0.9973305197462776	0.07301915277147167	-0.00014356888956844956	0.9995443457105029	-0.03018410750936236
2.655268e-07	0.0001896416724857819	-0.9972670428505889	0.07388104817934064	-0.00014356452748537216	0.999517704668927	-0.031053783064002943
2.760511e-07	0.0001847813699096796	-0.9972027920307149	0.07474327676782766	-0.00014356004170408118	0.9994903097653433	-0.0319233468748605
2.865749e-07	0.0001796694008608839	-0.99713776407493	0.07560586732890397	-0.0001435554322227361	0.9994621612737008	-0.03279279759247227
2.970984e-07	0.00017436537001485583	-0.9970719561486376	0.07646884240426083	-0.0001435506990437232	0.9994332594713042	-0.03366213385633161
3.076215e-07	0.0001689311180043426	-0.9970053658421482	0.07733221802225705	-0.00014354584217456828	0.99940360463874	-0.03453135429843756
3.181442e-07	0.00016343003180098177	-0.9969379912147253	0.07819600350000802	-0.00014354086162876543	0.9993731970597706	-0.0354004575472458
3.286665e-07	0.00015792633554566107	-0.9968698308343398	0.07906020131259087	-0.00014353575742650392	0.9993420370211984	-0.036269442231833614
3.391885e-07	0.000152484366372046	-0.9968008838125331	0.07992480703180353	-0.000143530529595281	0.9993101248127104	-0.03713830698607939
3.497100e-07	0.0001471678404795788	-0.9967311498337337	0.08078980933725569	-0.00014352517817038866	0.9992774607267054	-0.03800705045265691
3.602311e-07	0.00014203911571695053	-0.9966606291783529	0.08165519010264707	-0.00014351970319526628	0.9992440450581164	-0.03887567128665784
3.707518e-07	0.00013715845809050012	-0.9965893227389866	0.08252092455980563	-0.00014351410472171526	0.9992098781042335	-0.03974416815867027
3.812721e-07	0.00013258332083911903	-0.9965172320290888	0.08338698154236493	-0.00014350838280997316	0.9991749601645431	-0.040612539757172564
3.917920e-07	0.00012836764581120483	-0.9964443591835638	0.08425332380983462	-0.00014350253752864832	0.9991392915405822	-0.04148078479013281
4.023116e-07	0.00012456119774300936	-0.9963707069508568	0.08511990845130242	-0.000143496568954522	0.999102872535825	-0.04234890198574159
4.128307e-07	0.00012120894252097691	-0.9962962786762699	0.0859866873661781	-0.00014349047717222396	0.9990657034556023	-0.043216890092249265
4.233494e-07	0.00011835048052439095	-0.9962210782764395	0.08685360781736332	-0.00014348426227379354	0.9990277846070625	-0.044084747876915735
4.338677e-07	0.00011601954563241088	-0.9961451102051194	0.08772061305015791	-0.0001434779243581399	0.9989891162991743	-0.044952474124124966
4.443856e-07	0.00011424357944443076	-0.9960683794106399	0.08858764296822856	-0.00014347146353041668	0.9989496988427741	-0.04582006763275253
4.549032e-07	0.00011304338872019558	-0.9959908912856228	0.08945463485624042	-0.00014346487990132695	0.9989095325506571	-0.04668752721290815
4.654203e-07	0.00011243289211175576	-0.9959126516097387	0.09032152413740625	-0.00014345817358637754	0.9988686177377064	-0.04755485168220289
4.759371e-07	0.00011241896002990133	-0.9958336664864436	0.09118824515333349	-0.00014345134470509913	0.9988269547210581	-0.04842203986171337
4.864534e-07	0.0001130013491277633	-0.9957539422747536	0.09205473195323673	-0.0001434443933802477	0.9987845438202918	-0.049289090571827135
4.969694e-07	0.00011417273054309183	-0.9956734855171917	0.09292091907979738	-0.00014343731973700337	0.9987413853576406	-0.050156002628163616
5.074849e-07	0.00011591880887671215	-0.9955923028650507	0.09378674233970938	-0.0001434301239021767	0.9986974796582073	-0.0510227748377572
5.180001e-07	0.00011821852703799124	-0.9955104010020904	0.094652139548123	-0.00014342280600343357	0.9986528270501785	-0.051889405995683584
5.285149e-07	0.00012104435066567726	-0.9954277865677247	0.0955170512377006	-0.00014341536616854295	0.9986074278650255	-0.05275589488228646
5.390293e-07	0.00012436262487686408	-0.9953444660806497	0.09638142132467188	-0.00014340780452465096	0.9985612824376771	-0.05362224026113907
5.495433e-07	0.00012813399565701894	-0.9952604458637532	0.09724519772596653	-0.00014340012119758134	0.9985143911066618	-0.05448844087783858
5.600570e-07	0.00013231388821047273	-0.9951757319710377	0.0981083329230728	-0.00014339231631115785	0.9984667542142034	-0.05535449545969318
5.705702e-07	0.000136853034982202	-0.9950903301171816	0.098970784469587	-0.00014338438998654602	0.9984183721062687	-0.05622040271632067
5.810830e-07	0.00014169804671631107	-0.9950042456102931	0.09983251544038774	-0.00014337634234160723	0.9983692451325605	-0.057086161341131904
5.915955e-07	0.0001467920206917904	-0.9949174832883606	0.10069349482095517	-0.00014336817349026003	0.9983193736464568	-0.05795177001363146
6.021076e-07	0.00015207518103957826	-0.9948300474598993	0.10155369783554892	-0.00014335988354184474	0.9982687580048949	-0.058817227402425364
6.126193e-07	0.00015748554663601303	-0.9947419418493144	0.10241310621281659	-0.0001433514726004891	0.9982173985682058	-0.05968253216879406
6.231305e-07	0.0001629596224038507	-0.9946531695475505	0.10327170838702159	-0.00014334294076447644	0.9981652956999086	-0.06054768297066033
6.336414e-07	0.0001684331098439785	-0.9945637329686616	0.10412949963256564	-0.00014333428812561975	0.998112449766468	-0.06141267846676081
6.441519e-07	0.0001738416322362211	-0.9944736338130158	0.10498648212900116	-0.00014332551476865186	0.9980588611370329	-0.06227751732082591
6.546620e-07	0.00017912146923676465	-0.9943828730378779	0.10584266495338886	-0.00014331662077064322	0.9980045301831628	-0.06314219820556599
6.651717e-07	0.00018421029458389997	-0.9942914508361711	0.10669806399681978	-0.00014330760620046316	0.997949457278559	-0.06400671980628161
6.756810e-07	0.00018904790946994217	-0.9941993666241833	0.1075527018022375	-0.0001432984711183043	0.9978936427988125	-0.064871080823925
6.861900e-07	0.0001935769629117577	-0.9941066190389277	0.10840660732147162	-0.00014328921557529002	0.9978370871211812	-0.06573527997747594
6.966985e-07	0.0001977436493686403	-0.9940132059457568	0.1092598155905815	-0.00014327983961318695	0.9977797906244064	-0.06659931600552327
7.072066e-07	0.00020149837300037499	-0.9939191244566448	0.11011236732421237	-0.0001432703432642425	0.9977217536885815	-0.06746318766698328
7.177143e-07	0.0002047963674965048	-0.9938243709593512	0.11096430843157581	-0.0001432607265511676	0.9976629766950764	-0.06832689374092658
7.282216e-07	0.00020759826041015324	-0.993728941157409	0.11181568945875833	-0.00014325098948727913	0.997603460026525	-0.06919043302552523
