#t	<mx>	<my>	<mz>
0.000000e+00	0.9999999999999999	0	0
5.001000e-12	0.996132698770299	0.08784390613157166	0.001759146426084425
1.000200e-11	0.9845607548970267	0.17500783299216968	0.0035182819645070374
1.500300e-11	0.9653738153595524	0.26081707327641024	0.0052773957278755435
2.000400e-11	0.9387205187030985	0.3446074226705163	0.007036476829336786
2.500500e-11	0.9048073417174975	0.4257303293175815	0.008795514382846063
3.000600e-11	0.8638969973556068	0.5035579217353423	0.01055449750343681
3.500700e-11	0.816306396342082	0.5774878761450055	0.012313415307489835
4.000800e-11	0.7624041883137249	0.6469480854188105	0.014072256913002514
4.500900e-11	0.7026079015998596	0.7114010933968494	0.015831011439858565
5.001000e-11	0.6373807038697018	0.7703482601485241	0.01758966801009663
5.501100e-11	0.5672278088191753	0.8233336258465088	0.01934821574817947
6.001200e-11	0.4926925568191455	0.8699474432649964	0.02110664378126318
6.501300e-11	0.41435219997938366	0.909829351490905	0.02286494123946535
7.001400e-11	0.3328134243777202	0.9426711662268505	0.02462309725613416
7.501500e-11	0.24870764424421662	0.9682192650459928	0.026381100968116862
8.001600e-11	0.16268610465986333	0.9862765491082902	0.02813894151602737
8.501700e-11	0.07541483081439662	0.9967039661407336	0.029896608044514925
9.001800e-11	-0.012430536943028203	0.9994215828950325	0.031654089702532355
9.501900e-11	-0.10016998214272771	0.9944091987985268	0.03341137564360243
1.000200e-10	-0.1871243846335831	0.9817064960804635	0.03516845502608628
1.050210e-10	-0.2726207854777715	0.9614127252584809	0.03692531701344973
1.100220e-10	-0.35599760341978265	0.9336859284811182	0.038681950774531494
1.150230e-10	-0.4366097624295955	0.8987417068133113	0.04043834548380795
1.200240e-10	-0.5138336905159826	0.8568515410952009	0.04219449032166096
1.250250e-10	-0.5870721510115634	0.8083406794725816	0.04395037447464262
1.300260e-10	-0.6557588688384591	0.7535856080629804	0.04570598713574166
1.350270e-10	-0.7193629158619897	0.6930111244585174	0.04746131750464886
1.400280e-10	-0.7773928213174488	0.6270870368501302	0.04921635478802134
1.450290e-10	-0.8294003754368127	0.5563245144634628	0.0509710881997481
1.500300e-10	-0.8749840967914777	0.4812721177023297	0.05272550696121271
1.550310e-10	-0.9137923364855154	0.4025115388797258	0.05447960030155892
1.600320e-10	-0.9455259951605621	0.32065308666007686	0.05623335745795283
1.650330e-10	-0.9699408317867051	0.23633094932196697	0.057986767675846505
1.700340e-10	-0.9868493463898577	0.15019827366277722	0.059739820209240055
1.750350e-10	-0.9961222221804782	0.06292209779215018	0.061492504320944254
1.800360e-10	-0.9976893159752264	-0.02482182281102745	0.06324480928284126
1.850370e-10	-0.9915401893155952	-0.1123542557821691	0.06499672437614738
1.900380e-10	-0.9777241762583138	-0.1989977581905434	0.0667482388916721
1.950390e-10	-0.9563499874136279	-0.2840819277984787	0.06849934213007952
2.000400e-10	-0.9275848534113439	-0.36694859849010625	0.070250023402148
2.050410e-10	-0.8916532145527709	-0.4469569395427888	0.07200027202902752
2.100420e-10	-0.848834966931527	-0.5234884191711678	0.07375007734250143
2.150430e-10	-0.7994632787501823	-0.5959515938381326	0.07549942868524036
2.200440e-10	-0.7439219938961344	-0.6637866861904903	0.07724831541106418
2.250450e-10	-0.6826426430429449	-0.7264699161292009	0.07899672688519548
2.300460e-10	-0.61610108558783	-0.7835175514515623	0.0807446524845185
2.350470e-10	-0.5448138085982749	-0.8344896466908976	0.08249208159783125
2.400480e-10	-0.46933391159874643	-0.8789934412107416	0.08423900362610512
2.450490e-10	-0.39024680846161774	-0.9166863902663569	0.08598540798273567
2.500500e-10	-0.30816567985550175	-0.947278805606063	0.08773128409379892
2.550510e-10	-0.22372671163277522	-0.9705360852256497	0.08947662139830327
2.600520e-10	-0.13758415619067416	-0.9862805150877636	0.0912214093484414
2.650530e-10	-0.05040525520463283	-0.9943926289493188	0.09296563740984315
2.700540e-10	0.03713493680232144	-0.9948121158779578	0.0947092950618266
2.750550e-10	0.12435878783232156	-0.9875382685564565	0.09645237179764848
2.800560e-10	0.21059134206086286	-0.972629969044371	0.09819485712475205
2.850570e-10	0.295165550965172	-0.9502052122613653	0.09993674056501883
2.900580e-10	0.3774274413262343	-0.9204401710485121	0.10167801165501612
2.950590e-10	0.4567411800023719	-0.8835678102245262	0.1034186599462432
3.000600e-10	0.5324939961883856	-0.8398760605556256	0.10515867500537744
3.050610e-10	0.6041009229956134	-0.7897055669732904	0.10689804641452359
3.100620e-10	0.6710093216058685	-0.7334470286771207	0.10863676377145544
3.150630e-10	0.7327031529552325	-0.671538151924476	0.11037481668986093
3.200640e-10	0.7887069638783807	-0.6044602393102181	0.11211219479958794
3.250650e-10	0.8385895568753065	-0.5327344421552593	0.11384888774688227
3.300660e-10	0.8819673151325109	-0.4569177052298296	0.11558488519463511
3.350670e-10	0.9185071571203657	-0.3775984354164795	0.1173201768226187
3.400680e-10	0.9479290979767594	-0.2953919280500904	0.11905475232773129
3.450690e-10	0.9700083979515142	-0.21093558654128286	0.12078860142423238
3.500700e-10	0.9845772814025692	-0.12488397248109868	0.12252171384398204
3.550710e-10	0.9915262131784821	-0.03790372472637553	0.1242540793366805
3.600720e-10	0.9908047226662998	0.04933161303310447	0.12598568767010188
3.650730e-10	0.9824217693024568	0.13614681603051937	0.12771652863033126
3.700740e-10	0.9664456469096897	0.22187021292458797	0.12944659202199787
3.750750e-10	0.9430034278071822	0.3058388904068895	0.13117586766851316
3.800760e-10	0.9122799512164418	0.3874038275224648	0.13290434541229654
3.850770e-10	0.8745163640238872	0.46593491987670443	0.1346320151150134
3.900780e-10	0.8300082254353148	0.5408258547753791	0.13635886665780253
3.950790e-10	0.7791031904402977	0.6114987995209725	0.13808488994150772
4.000800e-10	0.7221982902698221	0.6774088665580511	0.13981007488690522
4.050810e-10	0.659736831152828	0.7380483209114375	0.1415344114349323
4.100820e-10	0.5922049356325062	0.7929504973799208	0.14325788954691276
4.150830e-10	0.5201277534682262	0.8416933972192175	0.1449804992047848
4.200840e-10	0.4440653717026222	0.8839029365529647	0.14670223041132519
4.250850e-10	0.3646084557955984	0.9192558214703206	0.14842307319037357
4.300860e-10	0.28237365580016277	0.9474820276817421	0.15014301758705154
4.350870e-10	0.1979988133627914	0.9683668656881376	0.15186205366798836
4.400880e-10	0.1121380068597959	0.9817526156486306	0.15358017152153675
4.450890e-10	0.025456473218887072	0.9875397194835042	0.15529736125800062
4.500900e-10	-0.06137455408739357	0.985687521195317	0.15701361300984443
4.550910e-10	-0.14768305075981686	0.9762145499058568	0.15872891693191435
4.600920e-10	-0.23280141066797988	0.9591983436621456	0.1604432632016544
4.650930e-10	-0.31607161768583764	0.9347748156334098	0.1621566420193218
4.700940e-10	-0.3968503402412042	0.9031371678750549	0.1638690436081977
4.750950e-10	-0.47451390907624386	0.8645343613475165	0.16558045821480327
4.800960e-10	-0.5484631396457789	0.8192691543202039	0.16729087610910828
4.850970e-10	-0.6181279618094677	0.7676957246367507	0.16900028758474772
4.900980e-10	-0.6829718209927073	0.7102168945415438	0.17070868295921957
4.950990e-10	-0.7424958167875442	0.6472809798439634	0.17241605257410453
5.001000e-10	-0.7962425470248347	0.5793782881021038	0.17412238679526335
5.051010e-10	-0.8437996276560851	0.5070372932194449	0.17582767601305188
5.101020e-10	-0.8848028613198453	0.4308205163450687	0.17753191064251725
5.151030e-10	-0.9189390302133323	0.3513201452310926	0.179235081123602
5.201040e-10	-0.9459482918234463	0.26915342621293226	0.1809371779213534
5.251050e-10	-0.9656261591699168	0.18495786472282053	0.18263819152611319
5.301060e-10	-0.9778250504523983	0.09938627171175192	0.1843381124537252
5.351070e-10	-0.9824553963479271	0.013101694528122567	0.18603693124573123
5.401080e-10	-0.9794862966488765	-0.07322772832589754	0.1877346384695643
5.451090e-10	-0.968945721437677	-0.15893394857352985	0.18943122471875135
5.501100e-10	-0.9509202555357444	-0.24335418543688997	0.1911266806131013
5.551110e-10	-0.9255543885126708	-0.3258360586221445	0.19282099679890335
5.601120e-10	-0.8930493560702575	-0.40574263720451736	0.19451416394911203
5.651130e-10	-0.8536615420968554	-0.4824573652814313	0.19620617276354613
5.701140e-10	-0.8077004540937978	-0.5553888262458995	0.19789701396907203
5.751150e-10	-0.7555262879808754	-0.6239753088120655	0.19958667831978893
5.801160e-10	-0.6975471014663394	-0.6876891394901269	0.20127515659722497
5.851170e-10	-0.6342156181940313	-0.7460407480467207	0.20296243961051572
5.901180e-10	-0.566025687732532	-0.7985824345844678	0.20464851819658683
5.951190e-10	-0.4935084291267332	-0.8449118092142587	0.2063333832203407
6.001200e-10	-0.41722808817028006	-0.8846748778578322	0.20801702557483787
6.051210e-10	-0.33777764075918193	-0.9175687504859424	0.2096994361814718
6.101220e-10	-0.25577417663568264	-0.9433439510473229	0.21138060599015399
6.151230e-10	-0.17185409951201863	-0.9618063114527055	0.2130605259794835
6.201240e-10	-0.08666818096329845	-0.9728184352219548	0.21473918715693308
6.251250e-10	-0.0008765065866939226	-0.9763007197556236	0.21641658055901022
6.301260e-10	0.08485664626807349	-0.9722319296287922	0.21809269725144476
6.351270e-10	0.1698679593902259	-0.9606493167980761	0.21976752832934673
6.401280e-10	0.2535002132228004	-0.9416482871349838	0.22144106491738563
6.451290e-10	0.33510737512142263	-0.9153816162229573	0.22311329816995826
6.501300e-10	0.41405959690657157	-0.8820582208540066	0.22478421927135298
6.551310e-10	0.4897480829942665	-0.8419414961066637	0.22645381943591386
6.601320e-10	0.5615897914257946	-0.7953472312532691	0.22812208990821423
6.651330e-10	0.6290319314448322	-0.7426411210052778	0.2297890219632088
6.701340e-10	0.6915562228795925	-0.6842358917349444	0.23145460690640227
6.751350e-10	0.7486828844655639	-0.6205880652863232	0.23311883607401016
