#t	<mx>	<my>	<mz>
0.000000e+00	0	0	1
9.614076e-08	0.01893574985245234	0.00044823971091556173	0.9954629242990455
1.927818e-07	0.022597336756863224	0.0008018373552824464	0.9941441680165125
2.891812e-07	0.023879806664104414	0.0020030723429459237	0.9928094560807866
3.858208e-07	0.02845074712974543	0.0010489826158974383	0.9915197763294651
4.810268e-07	0.030163326222913598	0.0012124101575209244	0.9903339075024278
5.778622e-07	0.033257816670797004	0.0033193666187827614	0.9890483925434714
6.738444e-07	0.03513854536000777	0.0021008614141383476	0.987674601727585
7.710115e-07	0.03953546994156493	0.0018752705795627208	0.9862807993462324
8.694189e-07	0.04273137920308796	0.002328118315309722	0.9848660178267528
9.649255e-07	0.04468240041623874	0.0034028833342541263	0.983691372351009
1.062077e-06	0.04753357787862894	0.0026558359432531575	0.9823750172167773
1.158306e-06	0.050507297110527836	0.003433262184349769	0.98106903664351
1.255714e-06	0.05386339382457556	0.0024440930701619934	0.9796100914855018
1.352905e-06	0.056000924229279124	0.002732758320398243	0.9782633402875934
1.450344e-06	0.059660701332349915	0.0018302368328543387	0.9772622713286849
1.546813e-06	0.061190276617885835	0.0018876298422828063	0.9757596034114938
1.643455e-06	0.06395365970293457	0.0011588544718689811	0.9746530577317006
1.740565e-06	0.0663644050615803	0.0023653322417934533	0.9731558339257912
1.837681e-06	0.06947979941038492	0.001206758815177994	0.971535935928369
1.936714e-06	0.0736283942211845	0.0008472279660325086	0.9699414784697101
2.033905e-06	0.07654457229365957	0.0020968499277786256	0.9691586414498793
2.131330e-06	0.0782027762008631	0.0013901678499939792	0.9675299681533451
2.227719e-06	0.0811006968518508	0.0021304502761479186	0.9662541678523737
2.321935e-06	0.08397955419451716	0.0022972338539470507	0.9647845137496089
2.418371e-06	0.08682124257213748	0.0023178977946962205	0.9633181885884146
2.516239e-06	0.088405176712782	0.0022217592636094453	0.9622040829266499
2.612462e-06	0.09133794259540833	0.0024243594225940974	0.960657067125482
2.708127e-06	0.09416719789568613	0.003322745217449025	0.9589719273454744
2.806315e-06	0.09653517687138388	0.003421544911250079	0.9579142235893631
2.901556e-06	0.09884598585859179	0.0027471165911713076	0.9565962559463048
2.997231e-06	0.10183323338621073	0.002434716481096552	0.954877431882196
3.094401e-06	0.10484151484598937	0.0020109242637364106	0.953417006310519
3.189848e-06	0.10652953689497871	0.0022633260376354563	0.9521478131445397
3.287208e-06	0.11034559615461617	0.0006603901654816352	0.9506107720981487
3.384367e-06	0.11221124029166406	0.001516670637305415	0.9490804890578872
3.481475e-06	0.11434505574269611	0.0011537423714835769	0.9479325563709766
3.579555e-06	0.11780089860891914	0.0019295604303735004	0.9458144189740423
3.676680e-06	0.12124021933713319	0.0016048887503801734	0.9446747220782681
3.773869e-06	0.12390818823112583	0.001064998043064329	0.9433043562519153
3.871027e-06	0.12635756825167008	0.0009247935525493944	0.9420251186591699
3.968398e-06	0.12999236123694421	0.0018613759416908277	0.9400406576286676
4.064861e-06	0.13295470819891994	0.0017028286317928784	0.9386987791081964
4.161003e-06	0.13530748269563955	0.0006096181663003587	0.9371508916316434
4.257384e-06	0.13938870378414603	0.00317561024447714	0.9352012259273494
4.354258e-06	0.14033360920077395	0.0001912674251188511	0.9340543979847677
4.451850e-06	0.14188377449998846	0.001772439104406165	0.9327953120879731
4.549539e-06	0.14519593422600474	0.002062218328840135	0.9312054214770039
4.646009e-06	0.14762070982450187	0.0014281898506859274	0.9298241624526641
4.743149e-06	0.14927083664682694	0.002260888444228111	0.9281862863194493
4.840537e-06	0.1533876665642686	0.0025972906452031014	0.9263502110387665
4.937446e-06	0.15484173611840701	0.0036627986222186114	0.9252610623276741
5.034621e-06	0.1571834228586815	0.002602985577111341	0.9236615865097161
5.131293e-06	0.160806327138972	0.0013827045637209482	0.9215882220955478
5.228932e-06	0.16266150893666195	0.0024353800337688137	0.9202118694043749
5.326075e-06	0.16641758871752088	0.0016030825901596094	0.9180285603774994
5.424167e-06	0.16790087190294448	0.0029102564533238576	0.9173230500637403
5.520332e-06	0.17100746817202847	0.0020613711550678364	0.9155102070674208
5.616958e-06	0.17431787215007785	0.002603941252912239	0.9142664993443124
5.713582e-06	0.17659839956713347	0.0030029658331932893	0.9120571207606977
5.810205e-06	0.17835273274917626	0.0016490875238551496	0.911424500196101
5.907797e-06	0.1824710014028403	0.0037284717323867243	0.9089115288997026
6.003255e-06	0.18566332473862884	0.0029195703623466846	0.9075744224739815
6.099243e-06	0.18770277408464903	0.0029957069445517353	0.9062214063125605
6.197400e-06	0.18950534356040372	0.0026571862484746672	0.9042646141542895
6.295556e-06	0.19298745482953267	0.0030142835755122993	0.9030168232047489
6.392470e-06	0.1945777271133266	0.003021706383915685	0.9014565961203959
6.489906e-06	0.1962049065610952	0.003367634394499435	0.8997363639784219
6.587106e-06	0.19847521485078895	0.0035652572215641065	0.8982701588403974
6.684695e-06	0.20039886599660842	0.003648347440087745	0.8964802342472538
6.781602e-06	0.20346217346529064	0.0036491291516724347	0.8945851334144159
6.879270e-06	0.20526111703531236	0.003104627846114113	0.8928128292578376
6.975272e-06	0.20788438777071525	0.003458385920262358	0.8915876275446372
7.073450e-06	0.2102067595407908	0.0035205844522029957	0.8896686543622504
7.170649e-06	0.21308721220207824	0.003549348648384635	0.8882356320010489
7.268238e-06	0.2159944990056019	0.0029221513927240655	0.8867492807652806
7.366353e-06	0.21823378499734064	0.004306167386120177	0.8850455617888784
7.462553e-06	0.21990368785862366	0.0030943475677731947	0.8834255193827983
7.560451e-06	0.22201545135631187	0.0032961088235973057	0.88180744904137
7.656652e-06	0.2239479533360805	0.0024850710197871226	0.8807106790016876
7.752356e-06	0.2267913148713501	0.002957465047769049	0.8783237459413377
7.850245e-06	0.22868653735006833	0.0018272626439733985	0.8767013386465571
7.945701e-06	0.23216232378219312	0.0018998504317115415	0.8749774878918641
8.041867e-06	0.23370384323972285	0.0012030050496351491	0.8732730012423137
8.139022e-06	0.23619277375392053	0.0016950038993687271	0.8721315490403062
8.236417e-06	0.23876997742038125	2.6868478961075663e-05	0.8698721529899219
8.334086e-06	0.24159103931317794	0.0017237551073036115	0.8687340817481254
8.430810e-06	0.24394475004520405	0.001147980367838477	0.8666765111244217
8.527252e-06	0.24572492619207734	0.0007640853006898286	0.8649558137572635
8.624623e-06	0.246967081597314	0.0010840688293073139	0.8637818780882702
8.721092e-06	0.2484334903779483	-0.0002521637942879473	0.8623900891743758
8.817345e-06	0.25027725386561994	-0.0004833993741447653	0.8604831974540336
8.914506e-06	0.25213528184895884	0.0008832099983643388	0.8589274269323677
9.009935e-06	0.2551442732007281	0.00042449164610368773	0.8570033516685427
9.108493e-06	0.2565960707063326	0.001065370946323217	0.8551088358644137
9.205699e-06	0.2591606402370137	0.0005530399353991093	0.8531100285036629
9.302891e-06	0.26137559851296444	0.0009846468412086572	0.8515132442537484
9.399281e-06	0.26322055486015594	0.001376983914670081	0.8498429238651101
9.495018e-06	0.26514854343794125	0.0020991941685967784	0.8481198197542203
9.592627e-06	0.2685415613574884	0.0012990405552167268	0.8461393184153989
9.688838e-06	0.2705045277169775	0.001336666067307329	0.8446866492789683
9.785442e-06	0.27239435306335563	-0.0012587353071916011	0.8429325029905305
9.882341e-06	0.27445499511189586	0.0012114056619479405	0.8421859259319617
9.980204e-06	0.2765207865174838	0.0022584648515276617	0.8400309310410891
1.007754e-05	0.2795886387824149	0.000338450900484503	0.8383323630605775
1.017326e-05	0.2810068728967532	0.0016109755240050557	0.8366262812406016
1.026918e-05	0.2829329984610461	0.0013410465135795533	0.8355589543901497
1.036630e-05	0.28569931049530756	0.00131746289889294	0.8340973431714328
1.046348e-05	0.2883123724277484	0.0010588578834761864	0.8320322921249743
1.056016e-05	0.28954497710091553	0.00034119145503319246	0.8306441996673799
1.065654e-05	0.29184275748279515	0.0017789531549374257	0.8289134102887983
1.075365e-05	0.2955384400436993	0.000685436491221299	0.8265304447401886
1.085155e-05	0.29688353514769955	0.0008704399118971834	0.825049085466127
1.094851e-05	0.30011713261971	-5.005335492723132e-05	0.8234279896044772
1.104639e-05	0.3011736659989724	0.0016528865207698475	0.8220661091282446
1.114303e-05	0.30351586620617144	-0.000588791065566349	0.8205649093476156
1.123798e-05	0.3053358900165062	0.0013748535485922884	0.8189852615439084
1.133606e-05	0.30748857348177183	0.0009351887135855493	0.8175198124833181
1.143398e-05	0.3099317208080615	-1.5036775575019258e-05	0.8149541191275833
1.153163e-05	0.3120953495682443	0.0002998841406108556	0.8135580105576121
1.162977e-05	0.3136914067502543	0.0003310057751761531	0.8115913505438108
1.172816e-05	0.3159604533918701	-6.628618317206018e-05	0.8096656910800524
1.182528e-05	0.3173349540135711	0.0007568141093926712	0.8075897302828949
1.192173e-05	0.31876385199422264	0.00040610424129325183	0.8071369652385173
1.201869e-05	0.3218208222828918	0.00046817033819382506	0.8048835524461108
1.211705e-05	0.3235001628828488	0.00042664955419914667	0.8030098691042762
1.221425e-05	0.3247534278613374	0.0002685751864470008	0.8009225214731982
1.231136e-05	0.3269766895136192	0.0011190075711771238	0.8000027944096354
1.240833e-05	0.3287072775508129	-0.00011251968709073484	0.7985000938376788
1.250554e-05	0.33107645507528954	-0.0001904694349166273	0.7967768861639364
1.260202e-05	0.3318454820790628	0.000529681573530827	0.7958217330022241
1.269775e-05	0.33507001537842246	-0.0007412228117529711	0.7936498848859324
1.279489e-05	0.3359934849243175	-0.0009869670296694198	0.7919095390285836
1.289105e-05	0.3381474612707602	-0.00038046351573060264	0.7898168625273738
1.298772e-05	0.33766675245367744	-0.00010425205963800328	0.7890561304186611
1.308540e-05	0.33972884717552965	-0.0004567098160885729	0.7873898092391238
1.318230e-05	0.34189553645064186	0.00011084612657662791	0.7858358758606142
1.327825e-05	0.34380599538323653	-0.0019180754814682218	0.7839340003284754
1.337640e-05	0.34699213804928897	-0.0018588733376161506	0.7816571398343463
1.347402e-05	0.3476497518903591	-0.000780940260779958	0.7804013289705448
1.356998e-05	0.3498450166214628	-0.0015227023796095878	0.7789538647953702
1.366689e-05	0.3529914874562615	-0.0019849038574921425	0.7773678541303038
1.376435e-05	0.353630666780086	-0.0013143062641592603	0.776204719003181
1.386268e-05	0.3554768464308802	-0.0017830766881260286	0.7742627500734284
1.395963e-05	0.35675316513067135	-0.0013786480766138226	0.7727186864188916
1.405585e-05	0.3596274585779953	-0.0020327208171527066	0.7706363435468647
1.415160e-05	0.3614591122553317	-0.0008891262558068702	0.7691808362944208
1.424805e-05	0.3625644316205228	-0.00242632853231366	0.76796661228846
1.434573e-05	0.3641487242369638	-0.0021940195226846596	0.7668322847229422
1.444337e-05	0.36589166342428797	-0.0011622251110740634	0.7648205729875303
1.454010e-05	0.3670266551566481	-0.00028250095078808225	0.7631871397618631
1.463672e-05	0.36865709251939865	-0.0012088741624760558	0.7618916559327729
1.473369e-05	0.37112113504311967	-0.0005114730469239457	0.7605041778792005
1.483043e-05	0.37360322230535103	-0.001267113017524693	0.7577262862756844
1.492760e-05	0.3750265253564894	-0.0006026636938531462	0.75601220735276
1.502568e-05	0.37635744822562917	-0.0008683935632605159	0.755097646209211
1.512215e-05	0.37755827140676335	-0.0012036181676888537	0.7536602604018838
1.521883e-05	0.37843694855049753	-0.0012848506582529937	0.7516320890746612
1.531596e-05	0.38082207940488527	-0.0024973446191512852	0.7498382797536796
1.541268e-05	0.382033568395907	-0.002958422080072934	0.7478972821912514
1.550692e-05	0.38403170181171914	-0.001278737237192651	0.7463135942890231
