#t	<mx>	<my>	<mz>	B_ext_x	B_ext_y	B_ext_z	(B_x	B_y	B_z)@(0,0,0.001)
0	0	0	1	0	0	0	0	0	4.188790204786391e-11
1.0001999999999395e-09	5.9103643654303975e-05	-0.0026340618688225474	0.9999965291063918	0.0003185240185684728	0	5.0009999999996975e-05	-1.237863818031669e-15	5.5167662774626104e-14	4.188775665941242e-11
2.0004000000002463e-09	5.1015374561857576e-05	-0.0012173596194461117	0.9999992577162187	-0.0004910519820457645	0	0.00010002000000001231	-1.068463506291089e-15	2.5496320248191805e-14	4.1887870955153585e-11
3.000600000000553e-09	7.366094487023928e-05	-0.0007632970143798673	0.9999997059758233	0.0004385053890099607	0	0.00015003000000002765	-1.5427512217388433e-15	1.5986455285885424e-14	4.188788973180798e-11
4.00080000000086e-09	0.0001624801214565555	-0.0028711910309834584	0.9999958649225875	-0.00018496906460427662	0	0.00020004000000004298	-3.4029757061486137e-15	6.013408433327024e-14	4.18877288381463e-11
5.001000000001167e-09	0.00016483744335236346	-5.900275413595633e-05	0.999999984673646	-0.00015334816224476597	0	0.0002500500000000583	-3.452347340482058e-15	1.2357507929005679e-15	4.188790140587509e-11
6.0012000000014735e-09	0.0002784676686018855	-0.002257924543871459	0.9999974121129074	0.0004213779839487543	0	0.00030006000000007367	-5.832213212946404e-15	4.728986106257773e-14	4.1887793646702866e-11
7.00140000000178e-09	0.0003518195985280992	-0.0016341497893584966	0.9999986028877421	-0.0004962684511051192	0	0.000350070000000089	-7.368492440831912e-15	3.422555315409307e-14	4.18878435257625e-11
8.001599999999807e-09	0.0004173235487169681	-0.0003270842853548855	0.9999998594284532	0.0003436933837521737	0	0.00040007999999999033	-8.74040396546166e-15	6.850437253170506e-15	4.1887896159616723e-11
9.001799999995977e-09	0.0005739331288207818	-0.0028649356008226792	0.9999957313632728	-3.3585837540264584e-05	0	0.0004500899999997988	-1.2020427341034483e-14	6.000307091034926e-14	4.18877232436268e-11
1.0001999999992148e-08	0.0006331932813212848	-0.00011922395599428621	0.999999792425937	-0.0002919158375439731	0	0.0005000999999996074	-1.3261569072675758e-14	2.4970206952237485e-15	4.1887893353021895e-11
1.1002199999988318e-08	0.000778970093611589	-0.0016260833721477913	0.9999983745279091	0.0004836173649427841	0	0.0005501099999994159	-1.6314711489708807e-14	3.4056610507093453e-14	4.188783396024819e-11
1.2002399999984488e-08	0.0009101315421712281	-0.0018037749652824624	0.9999979590261425	-0.0004536520057588943	0	0.0006001199999992244	-1.906175044456986e-14	3.777817453107045e-14	4.188781655575089e-11
1.3002599999980658e-08	0.0009874691104927737	0.0002871848906946165	0.9999994712146574	0.00021575443611665307	0	0.0006501299999990328	-2.0681504687806303e-14	-6.014786285521299e-15	4.188787989815528e-11
1.4002799999976828e-08	0.0011597152443899757	-0.00237575304926839	0.9999965054228944	0.00012103456627228305	0	0.0007001399999988413	-2.428901928021093e-14	4.975765550883416e-14	4.188775566736041e-11
1.500299999997384e-08	0.001222859458396729	0.0001002287347213769	0.9999992472841897	-0.00040234715812171993	0	0.0007501499999986919	-2.5611508605813044e-14	-2.099185711195186e-15	4.188787051817778e-11
1.6003199999978284e-08	0.0013229895848337913	-0.0005101291882856471	0.9999989947328796	0.0004992432084794229	0	0.0008001599999989141	-2.7708629069930992e-14	1.0684120735332753e-14	4.1887859939333226e-11
1.7003399999982727e-08	0.0014203421753189451	-0.0014189591726235296	0.9999979845894549	-0.0003673102391550417	0	0.0008501699999991362	-2.9747576957104956e-14	2.971861141638621e-14	4.188781762654441e-11
1.800359999998717e-08	0.0014076860536640014	0.001296943980045174	0.9999981681764658	6.701996317643052e-05	0	0.0009001799999993585	-2.9482507765010896e-14	-2.7163131198849502e-14	4.188782531661913e-11
1.9003799999991614e-08	0.0014664692887190512	-0.0012078979939525458	0.9999981952235022	0.0002639890330818162	0	0.0009501899999995806	-3.071366096103213e-14	2.5298156427247774e-14	4.1887826449562745e-11
2.0003999999996058e-08	0.0014032003987605023	0.0007645621049345192	0.9999987232358992	-0.00047399818273046016	0	0.0010001999999998028	-2.9388560428401746e-14	-1.6012951280502894e-14	4.188784856689432e-11
